Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut	SiDom
He	4	2	10	18.3487	4	1000	0	393.223	308.723	136.451	141.025	101.996	56.719	0.314611	1.1749	3.34229e-06	1.09742e-05	0.4
He	4	2	50	4.97376	0.5	1000	0	181.429	142.451	18.173	18.547	16.159	2.926	0.877664	0.131398	1.0405e-06	1.2024e-06	0.4
He	4	2	50	4.97376	1	1000	0	362.623	284.749	36.201	36.918	32.138	5.761	0.771499	0.261226	1.81801e-06	2.39003e-06	0.4
He	4	2	50	4.97376	2	1000	0	725.475	569.437	72.425	73.884	63.671	12.523	0.592185	0.527859	2.82046e-06	4.83596e-06	0.4
He	4	2	50	4.97376	4	1000	0	1451.14	1139.01	145.034	148.035	125.714	27.782	0.345442	1.07135	3.34221e-06	9.83237e-06	0.4
He	4	2	100	2.9106	0.5	1000	0	309.84	243.428	18.332	18.679	16.656	2.422	0.879095	0.129656	1.02708e-06	1.18307e-06	0.4
He	4	2	100	2.9106	1	1000	0	619.886	486.509	36.604	37.303	33.192	4.977	0.772576	0.259646	1.80786e-06	2.37011e-06	0.4
He	4	2	100	2.9106	2	1000	0	1239.91	973.08	72.804	74.147	65.468	10.466	0.597268	0.51902	2.79169e-06	4.74151e-06	0.4
He	4	2	100	2.9106	4	1000	0	2479.24	1946.81	146.16	148.965	129.525	23.651	0.350296	1.05612	3.33915e-06	9.66537e-06	0.4
He	4	2	200	1.79331	0.5	1000	0	503.111	394.941	18.185	18.502	16.731	2.112	0.881383	0.126964	1.00798e-06	1.15661e-06	0.4
He	4	2	200	1.79331	1	1000	0	1006.24	789.637	36.227	36.906	33.342	4.226	0.777327	0.253322	1.77338e-06	2.3078e-06	0.4
He	4	2	200	1.79331	2	1000	0	2012.03	1579.58	72.68	73.995	66.168	9.459	0.600626	0.51293	2.77552e-06	4.67943e-06	0.4
He	4	2	200	1.79331	4	1000	0	4024.09	3159.42	145.353	147.92	130.663	20.832	0.357435	1.03518	3.33758e-06	9.4566e-06	0.4
He	4	2	400	1.21042	0.5	1000	0	745.329	585.024	18.056	18.392	16.735	1.991	0.882565	0.125656	9.97684e-07	1.14397e-06	0.4
