Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut	SiDom
H	1	1	10	4.58728	0.5	1000	0	196.69	154.456	17.122	17.464	12.684	6.799	0.866931	0.144349	1.14209e-06	1.34705e-06	2.25
H	1	1	10	4.58728	1	1000	0	393.261	308.74	34.94	35.71	22.684	21.17	0.720893	0.332226	2.19493e-06	3.14057e-06	2.25
H	1	1	10	4.58728	2	1000	0	786.609	617.459	69.065	70.603	36.803	64.98	0.468249	0.774785	3.33641e-06	7.43797e-06	2.25
H	1	1	10	4.58728	4	1000	0	1573.26	1234.79	138.248	141.129	53.597	228.528	0.137638	2.05178	2.58274e-06	2.01088e-05	2.25
H	1	1	50	1.24344	0.5	1000	0	725.475	569.437	18.298	18.627	14.279	5.754	0.864922	0.146323	1.15398e-06	1.35718e-06	2.25
H	1	1	50	1.24344	1	1000	0	1451.14	1139.01	36.514	37.169	24.783	18.891	0.721877	0.329765	2.18528e-06	3.10184e-06	2.25
H	1	1	50	1.24344	2	1000	0	2901.7	2278.18	72.983	74.32	39.645	64.671	0.456786	0.796552	3.36954e-06	7.63136e-06	2.25
H	1	1	50	1.24344	4	1000	0	5803.68	4557.3	145.915	148.631	56.729	234.448	0.126297	2.12909	2.48332e-06	2.08468e-05	2.25
H	1	1	100	0.727649	0.5	1000	0	1239.91	973.08	18.422	18.735	14.494	5.574	0.865025	0.146083	1.15315e-06	1.35371e-06	2.25
H	1	1	100	0.727649	1	1000	0	2479.24	1946.81	36.49	37.113	25.259	17.604	0.72653	0.32285	2.15435e-06	3.0303e-06	2.25
H	1	1	100	0.727649	2	1000	0	4958.56	3893.38	72.983	74.231	40.082	63.025	0.460944	0.787598	3.35656e-06	7.53888e-06	2.25
H	1	1	100	0.727649	4	1000	0	9917.42	7786.42	146.258	148.81	57.004	232.634	0.127256	2.12096	2.49268e-06	2.07606e-05	2.25
H	1	1	200	0.448328	0.5	1000	0	2012.03	1579.58	18.335	18.645	14.457	5.577	0.865623	0.145533	1.14732e-06	1.34879e-06	2.25
H	1	1	200	0.448328	1	1000	0	4024.09	3159.42	36.416	37.039	25.329	17.278	0.728138	0.320723	2.14231e-06	3.0088e-06	2.25
H	1	1	200	0.448328	2	1000	0	8048.22	6319.21	73.262	74.491	40.309	62.403	0.460956	0.786059	3.36236e-06	7.52051e-06	2.25
H	1	1	200	0.448328	4	1000	0	16095.9	12636.3	146.165	148.73	57.103	231.423	0.127551	2.11428	2.50059e-06	2.06917e-05	2.25
H	1	1	400	0.302604	0.5	1000	0	2980.83	2340.14	18.024	18.31	14.33	5.279	0.86875	0.14191	1.12165e-06	1.31405e-06	2.25
H	1	1	400	0.302604	1	1000	0	5962.1	4681.73	36.278	36.944	25.19	17.34	0.728192	0.320442	2.14382e-06	3.00673e-06	2.25
H	1	1	400	0.302604	2	1000	0	11923.8	9360.57	72.12	73.372	39.936	60.301	0.469302	0.768311	3.33871e-06	7.34566e-06	2.25
H	1	1	400	0.302604	4	1000	0	23847	18721.3	144.238	146.735	56.896	225.822	0.133009	2.07319	2.55052e-06	2.02815e-05	2.25
H	1	1	800	0.232827	0.5	1000	0	3874.51	3041.82	17.893	18.209	14.345	5.104	0.869985	0.140383	1.11191e-06	1.29905e-06	2.25
H	1	1	800	0.232827	1	1000	0	7748.6	6083.78	35.582	36.159	24.848	16.624	0.734591	0.311861	2.0999e-06	2.92438e-06	2.25
H	1	1	800	0.232827	2	1000	0	15496.6	12166	71.218	72.426	39.764	58.579	0.47636	0.753588	3.31848e-06	7.20076e-06	2.25
H	1	1	800	0.232827	4	1000	0	30993.9	24329.5	142.965	145.344	56.523	221.762	0.137058	2.04375	2.58838e-06	1.99872e-05	2.25
H	1	1	1000	0.220775	0.5	1000	0	4086.12	3208.1	17.47	17.757	13.975	4.991	0.873029	0.136968	1.08703e-06	1.26753e-06	2.25
