Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
B	0	4202480	4.83	3.41668e+07	0.5	1000	0	4.518	3.56	14.851	18.084	3.025	114.31	0.67258	0.696549	1.62942e-06	7.09445e-06	
B	0	4202480	4.83	3.41668e+07	1	1000	0	8.935	6.998	28.804	34.887	5.804	222.869	0.451078	1.35572	2.26371e-06	1.3811e-05	
B	0	4202480	4.83	3.41668e+07	2	1000	0	17.974	14.078	57.604	69.713	11.471	444.325	0.207745	2.70386	2.0586e-06	2.75435e-05	
B	0	4202480	4.83	3.41668e+07	4	1000	0	35.929	28.005	115.807	140.056	21.758	958.624	0.0387058	5.76853	8.00636e-07	5.88406e-05	
B	0	4202480	6.5	3.61989e+07	0.5	1000	0	5.627	4.414	14.809	17.207	3.648	83.157	0.706287	0.532161	1.71254e-06	5.38969e-06	
B	0	4202480	6.5	3.61989e+07	1	1000	0	11.198	8.766	29.994	34.855	7.302	167.125	0.483328	1.07123	2.47523e-06	1.08474e-05	
B	0	4202480	6.5	3.61989e+07	2	1000	0	22.493	17.541	59.018	68.509	13.896	341.84	0.231129	2.17362	2.41674e-06	2.20302e-05	
B	0	4202480	6.5	3.61989e+07	4	1000	0	45.1	35.235	120.398	139.829	26.538	748.367	0.0442665	4.6948	9.83091e-07	4.76561e-05	
B	0	4202480	10.48	3.94528e+07	0.5	1000	0	8.118	6.354	15.581	17.312	5.022	55.334	0.735704	0.390923	1.82919e-06	3.91729e-06	
B	0	4202480	10.48	3.94528e+07	1	1000	0	16.312	12.788	31.21	34.559	10.013	107.284	0.540939	0.764179	2.69878e-06	7.65111e-06	
B	0	4202480	10.48	3.94528e+07	2	1000	0	32.724	25.476	62.353	69.178	18.837	230.5	0.27802	1.60999	2.87494e-06	1.61521e-05	
B	0	4202480	10.48	3.94528e+07	4	1000	0	65.538	51.347	125.489	138.969	34.778	512.776	0.0666967	3.48788	1.43951e-06	3.50899e-05	
