Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
B	0	4202480	4.83	3.41668e+07	0.5	1000	0	4.518	3.56	14.851	18.084	3.203	107.615	0.678703	0.662404	1.64453e-06	6.73873e-06	
B	0	4202480	4.83	3.41668e+07	1	1000	0	8.935	6.998	28.804	34.887	6.143	208.187	0.459953	1.28084	2.29989e-06	1.30309e-05	
B	0	4202480	4.83	3.41668e+07	2	1000	0	17.974	14.078	57.604	69.713	12.254	416.65	0.219537	2.56271	2.12853e-06	2.60731e-05	
B	0	4202480	4.83	3.41668e+07	4	1000	0	35.929	28.005	115.807	140.056	23.476	880.929	0.0436947	5.37229	8.88567e-07	5.47124e-05	
B	0	4202480	6.5	3.61989e+07	0.5	1000	0	5.627	4.414	14.809	17.207	3.842	77.336	0.711852	0.502474	1.70781e-06	5.0804e-06	
B	0	4202480	6.5	3.61989e+07	1	1000	0	11.198	8.766	29.994	34.855	7.675	158.191	0.493731	1.02566	2.48209e-06	1.03727e-05	
B	0	4202480	6.5	3.61989e+07	2	1000	0	22.493	17.541	59.018	68.509	14.944	314.557	0.245756	2.03448	2.48752e-06	2.05806e-05	
B	0	4202480	6.5	3.61989e+07	4	1000	0	45.1	35.235	120.398	139.829	28.88	681.159	0.0505555	4.35204	1.10269e-06	4.40852e-05	
B	0	4202480	10.48	3.94528e+07	0.5	1000	0	8.118	6.354	15.581	17.312	5.255	51.028	0.742203	0.368962	1.81069e-06	3.6885e-06	
B	0	4202480	10.48	3.94528e+07	1	1000	0	16.312	12.788	31.21	34.559	10.502	99.308	0.554288	0.723501	2.68276e-06	7.22733e-06	
B	0	4202480	10.48	3.94528e+07	2	1000	0	32.724	25.476	62.353	69.178	20.252	209.628	0.295408	1.50354	2.94891e-06	1.50431e-05	
B	0	4202480	10.48	3.94528e+07	4	1000	0	65.538	51.347	125.489	138.969	38.021	457.548	0.0782544	3.20622	1.61922e-06	3.21555e-05	
