Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
He	4	2	1.23	90.0349	0.5	1000	0	9.977	7.805	15.698	17.935	3.813	66.589	0.697705	0.452236	2.03071e-06	4.55047e-06	
He	4	2	1.23	90.0349	1	1000	0	19.927	15.585	30.778	35	7.39	134.205	0.488939	0.904245	2.83992e-06	9.10641e-06	
He	4	2	1.23	90.0349	2	1000	0	39.986	31.17	61.793	70.194	13.998	292.068	0.223987	1.93037	2.67561e-06	1.94808e-05	
He	4	2	1.23	90.0349	4	1000	0	80.005	62.755	125.317	142.486	25.159	696.028	0.0397151	4.44455	9.8543e-07	4.50252e-05	
He	4	2	1.78	69.9099	0.5	1000	0	12.832	10.041	15.748	17.444	4.661	48.959	0.734881	0.359239	1.94533e-06	3.58602e-06	
He	4	2	1.78	69.9099	1	1000	0	25.705	20.027	31.469	34.557	8.928	102.076	0.534846	0.737606	2.85866e-06	7.37428e-06	
He	4	2	1.78	69.9099	2	1000	0	51.492	40.224	64.368	70.937	16.879	239.389	0.253499	1.66637	2.92479e-06	1.67237e-05	
He	4	2	1.78	69.9099	4	1000	0	103.136	80.935	129.227	142.449	29.437	580.752	0.048997	3.85641	1.20488e-06	3.88981e-05	
He	4	2	2.81	49.9883	0.5	1000	0	18.015	14.108	15.897	17.056	5.926	33.524	0.776773	0.278084	1.76082e-06	2.74401e-06	
He	4	2	2.81	49.9883	1	1000	0	35.98	28.052	32.101	34.403	11.203	74.361	0.585215	0.595292	2.80219e-06	5.893e-06	
He	4	2	2.81	49.9883	2	1000	0	72.091	56.539	65.291	69.979	20.706	176.124	0.308159	1.3377	3.19583e-06	1.33082e-05	
He	4	2	2.81	49.9883	4	1000	0	144.351	113.307	131.387	140.799	35.047	450.59	0.0669973	3.18223	1.5648e-06	3.18891e-05	
He	4	2	5.91	28.0076	0.5	1000	0	32.185	25.055	16.293	16.974	8.253	18.828	0.823674	0.20262	1.47747e-06	1.95853e-06	
He	4	2	5.91	28.0076	1	1000	0	64.306	50.376	33.478	34.891	15.608	45.373	0.652146	0.450518	2.57007e-06	4.38033e-06	
He	4	2	5.91	28.0076	2	1000	0	128.776	101.144	66.724	69.668	27.107	115.412	0.38317	1.02612	3.36885e-06	1.00648e-05	
He	4	2	5.91	28.0076	4	1000	0	257.81	202.354	135.69	141.687	43.416	334.087	0.0935037	2.59364	2.01376e-06	2.5749e-05	
He	4	2	8.99	19.9996	0.5	1000	0	45.142	35.258	16.897	17.519	9.619	15.043	0.83414	0.186739	1.40546e-06	1.78819e-06	
He	4	2	8.99	19.9996	1	1000	0	90.124	70.722	33.717	34.897	17.493	36.518	0.676557	0.405395	2.45503e-06	3.91017e-06	
He	4	2	8.99	19.9996	2	1000	0	180.504	141.75	68.289	70.699	30.442	98.512	0.407257	0.946401	3.38345e-06	9.22505e-06	
He	4	2	8.99	19.9996	4	1000	0	360.829	283.434	135.728	140.334	46.976	287.512	0.111877	2.34761	2.25759e-06	2.31979e-05	
