Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
B	0	4202480	4.83	3.41668e+07	0.5	1000	0	4.518	3.56	14.851	18.084	2.781	122.615	0.665501	0.738904	1.62778e-06	7.53573e-06	
B	0	4202480	4.83	3.41668e+07	1	1000	0	8.935	6.998	28.804	34.887	5.406	234.858	0.440119	1.41687	2.24706e-06	1.4448e-05	
B	0	4202480	4.83	3.41668e+07	2	1000	0	17.974	14.078	57.604	69.713	10.533	478.848	0.1978	2.87992	1.97423e-06	2.93779e-05	
B	0	4202480	4.83	3.41668e+07	4	1000	0	35.929	28.005	115.807	140.056	19.645	1059.83	0.0344701	6.28471	7.15607e-07	6.42182e-05	
B	0	4202480	6.5	3.61989e+07	0.5	1000	0	5.627	4.414	14.809	17.207	3.409	89.092	0.698471	0.562429	1.72069e-06	5.70504e-06	
B	0	4202480	6.5	3.61989e+07	1	1000	0	11.198	8.766	29.994	34.855	6.751	182.464	0.470093	1.14946	2.44422e-06	1.16624e-05	
B	0	4202480	6.5	3.61989e+07	2	1000	0	22.493	17.541	59.018	68.509	12.867	366.619	0.219892	2.29999	2.33438e-06	2.33468e-05	
B	0	4202480	6.5	3.61989e+07	4	1000	0	45.1	35.235	120.398	139.829	24.038	835.556	0.0378553	5.13946	8.59336e-07	5.22888e-05	
B	0	4202480	10.48	3.94528e+07	0.5	1000	0	8.118	6.354	15.581	17.312	4.772	58.51	0.727913	0.40712	1.86101e-06	4.08604e-06	
B	0	4202480	10.48	3.94528e+07	1	1000	0	16.312	12.788	31.21	34.559	9.334	115.361	0.527157	0.805372	2.71555e-06	8.08027e-06	
B	0	4202480	10.48	3.94528e+07	2	1000	0	32.724	25.476	62.353	69.178	17.494	253.135	0.26181	1.72543	2.78837e-06	1.73548e-05	
B	0	4202480	10.48	3.94528e+07	4	1000	0	65.538	51.347	125.489	138.969	31.38	580.481	0.0568118	3.83318	1.27017e-06	3.86873e-05	
