Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
Photon	0	0	0.1	0	0.25	1000	0	27.018	21.062	8.753	8.999	7.229	2.474	0.933932	0.0691311	5.83422e-07	6.39423e-07	
Photon	0	0	0.1	0	0.5	1000	0	54.119	42.262	17.378	17.865	14.065	5.269	0.871408	0.139064	1.09926e-06	1.2884e-06	
Photon	0	0	0.1	0	1	1000	0	108.288	84.78	34.784	35.827	26.63	13.281	0.749011	0.292727	1.99015e-06	2.72801e-06	
Photon	0	0	0.1	0	2	1000	0	216.84	169.989	69.997	71.989	48.471	36.267	0.533748	0.637053	3.10271e-06	5.99059e-06	
Photon	0	0	0.1	0	3	1000	0	325.251	255.171	104.692	107.764	66.41	69.75	0.362811	1.03248	3.42105e-06	9.78906e-06	
Photon	0	0	0.1	0	4	1000	0	433.84	340.53	139.256	143.352	81.293	111.736	0.237335	1.4701	3.18369e-06	1.40288e-05	
Photon	0	0	0.1	0	5	1000	0	542.039	425.57	174.707	179.641	94.749	163.052	0.147446	1.95971	2.64189e-06	1.88038e-05	
Photon	0	0	0.1	0	6	1000	0	650.44	510.623	209.795	215.821	105.899	226.414	0.0870625	2.51007	1.99109e-06	2.42127e-05	
