Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
B	0	4202480	4.83	3.41668e+07	0.5	1000	0	4.518	3.56	14.851	18.084	3.359	102.873	0.683966	0.63822	1.65502e-06	6.48677e-06	
B	0	4202480	4.83	3.41668e+07	1	1000	0	8.935	6.998	28.804	34.887	6.47	199.237	0.466621	1.2352	2.32035e-06	1.25554e-05	
B	0	4202480	4.83	3.41668e+07	2	1000	0	17.974	14.078	57.604	69.713	12.935	399.105	0.224779	2.47323	2.17421e-06	2.51409e-05	
B	0	4202480	4.83	3.41668e+07	4	1000	0	35.929	28.005	115.807	140.056	25.069	831.829	0.0470879	5.12188	9.46458e-07	5.21036e-05	
B	0	4202480	6.5	3.61989e+07	0.5	1000	0	5.627	4.414	14.809	17.207	4.062	72.506	0.720231	0.477841	1.70359e-06	4.82377e-06	
B	0	4202480	6.5	3.61989e+07	1	1000	0	11.198	8.766	29.994	34.855	8.071	150.666	0.501217	0.987286	2.49507e-06	9.97285e-06	
B	0	4202480	6.5	3.61989e+07	2	1000	0	22.493	17.541	59.018	68.509	15.725	300.937	0.254106	1.96502	2.52765e-06	1.98569e-05	
B	0	4202480	6.5	3.61989e+07	4	1000	0	45.1	35.235	120.398	139.829	30.945	638.602	0.0555552	4.135	1.188e-06	4.1824e-05	
B	0	4202480	10.48	3.94528e+07	0.5	1000	0	8.118	6.354	15.581	17.312	5.448	49.478	0.74757	0.361057	1.7909e-06	3.60614e-06	
B	0	4202480	10.48	3.94528e+07	1	1000	0	16.312	12.788	31.21	34.559	11	95.465	0.562019	0.703902	2.66606e-06	7.02313e-06	
B	0	4202480	10.48	3.94528e+07	2	1000	0	32.724	25.476	62.353	69.178	21.265	198.801	0.306157	1.44832	2.98143e-06	1.44679e-05	
B	0	4202480	10.48	3.94528e+07	4	1000	0	65.538	51.347	125.489	138.969	40.862	420.919	0.0872874	3.01941	1.74372e-06	3.02092e-05	
