Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut	SiDom
H	1	1	10	4.58728	0.5	1000	0	69.227	67.747	17.214	17.566	15.23	2.837	0.883565	0.124783	9.92968e-07	1.1423e-06	0.4
H	1	1	10	4.58728	1	1000	0	138.643	135.584	34.237	34.953	30.313	5.536	0.782037	0.247738	1.74568e-06	2.26716e-06	0.4
H	1	1	10	4.58728	2	1000	0	277.485	271.465	68.95	70.482	60.471	12.336	0.605562	0.505541	2.76167e-06	4.63399e-06	0.4
H	1	1	10	4.58728	4	1000	0	555.35	543.424	137.391	140.335	118.93	26.714	0.364879	1.01755	3.34462e-06	9.34097e-06	0.4
H	1	1	50	1.24344	0.5	1000	0	256.013	250.432	18.285	18.614	16.882	2.078	0.880957	0.127494	1.01073e-06	1.16113e-06	0.4
H	1	1	50	1.24344	1	1000	0	512.168	501.173	36.359	36.975	33.448	4.262	0.776965	0.253939	1.77486e-06	2.3136e-06	0.4
H	1	1	50	1.24344	2	1000	0	1024.19	1002.14	72.666	73.961	66.465	8.937	0.602288	0.510054	2.76666e-06	4.64977e-06	0.4
H	1	1	50	1.24344	4	1000	0	2048.29	2004.31	146.718	149.407	132.306	20.75	0.354188	1.0441	3.33695e-06	9.53618e-06	0.4
H	1	1	100	0.727649	0.5	1000	0	437.603	428.201	18.236	18.544	17.028	1.78	0.882588	0.125534	9.96951e-07	1.14134e-06	0.4
H	1	1	100	0.727649	1	1000	0	875.31	856.436	36.46	37.121	33.797	3.972	0.777251	0.253377	1.77277e-06	2.30644e-06	0.4
H	1	1	100	0.727649	2	1000	0	1750.34	1712.71	73.157	74.402	67.385	8.481	0.602075	0.510498	2.76496e-06	4.65044e-06	0.4
H	1	1	100	0.727649	4	1000	0	3500.42	3425.14	146.41	148.977	132.641	19.788	0.356916	1.03649	3.33523e-06	9.46079e-06	0.4
H	1	1	200	0.448328	0.5	1000	0	710.323	695.023	17.94	18.236	16.803	1.678	0.88472	0.12308	9.7987e-07	1.11854e-06	0.4
H	1	1	200	0.448328	1	1000	0	1420.52	1390.01	36.335	36.982	33.824	3.729	0.778846	0.251265	1.76118e-06	2.28568e-06	0.4
H	1	1	200	0.448328	2	1000	0	2840.64	2779.49	72.504	73.806	67.04	8.056	0.605338	0.504587	2.75172e-06	4.59421e-06	0.4
H	1	1	200	0.448328	4	1000	0	5681.09	5559.28	145.846	148.339	132.921	18.534	0.360438	1.02609	3.33512e-06	9.35815e-06	0.4
