Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
He	4	2	1.23	90.0349	0.5	1000	0	9.977	7.805	15.698	17.935	4.959	48.276	0.737725	0.358839	1.90128e-06	3.57745e-06	
He	4	2	1.23	90.0349	1	1000	0	19.927	15.585	30.778	35	9.679	95.72	0.548197	0.707972	2.80261e-06	7.06158e-06	
He	4	2	1.23	90.0349	2	1000	0	39.986	31.17	61.793	70.194	19.468	192.383	0.299467	1.42197	3.06365e-06	1.41842e-05	
He	4	2	1.23	90.0349	4	1000	0	80.005	62.755	125.317	142.486	38.737	402.16	0.0874555	2.94583	1.77812e-06	2.9411e-05	
He	4	2	1.78	69.9099	0.5	1000	0	12.832	10.041	15.748	17.444	5.965	35.313	0.771933	0.289645	1.76228e-06	2.86096e-06	
He	4	2	1.78	69.9099	1	1000	0	25.705	20.027	31.469	34.557	11.771	69.659	0.599163	0.572279	2.71516e-06	5.65187e-06	
He	4	2	1.78	69.9099	2	1000	0	51.492	40.224	64.368	70.937	23.764	147.468	0.344145	1.19757	3.2397e-06	1.18397e-05	
He	4	2	1.78	69.9099	4	1000	0	103.136	80.935	129.227	142.449	47.001	309.202	0.114262	2.47151	2.16385e-06	2.44698e-05	
He	4	2	2.81	49.9883	0.5	1000	0	18.015	14.108	15.897	17.056	7.558	23.234	0.810266	0.225605	1.54697e-06	2.19727e-06	
He	4	2	2.81	49.9883	1	1000	0	35.98	28.052	32.101	34.403	14.873	48.069	0.649683	0.461203	2.55144e-06	4.49603e-06	
He	4	2	2.81	49.9883	2	1000	0	72.091	56.539	65.291	69.979	29.71	100.652	0.411885	0.952793	3.31812e-06	9.29811e-06	
He	4	2	2.81	49.9883	4	1000	0	144.351	113.307	131.387	140.799	58.624	211.178	0.162055	1.96123	2.67478e-06	1.91683e-05	
He	4	2	5.91	28.0076	0.5	1000	0	32.185	25.055	16.293	16.974	10.063	12.29	0.848509	0.169276	1.2861e-06	1.61115e-06	
He	4	2	5.91	28.0076	1	1000	0	64.306	50.376	33.478	34.891	20.406	26.085	0.710676	0.352149	2.24041e-06	3.35549e-06	
He	4	2	5.91	28.0076	2	1000	0	128.776	101.144	66.724	69.668	39.922	54.698	0.500327	0.716475	3.19209e-06	6.83887e-06	
He	4	2	5.91	28.0076	4	1000	0	257.81	202.354	135.69	141.687	78.13	123.128	0.231517	1.51775	3.12438e-06	1.45401e-05	
He	4	2	8.99	19.9996	0.5	1000	0	45.142	35.258	16.897	17.519	11.59	9.452	0.85633	0.158225	1.22584e-06	1.49112e-06	
He	4	2	8.99	19.9996	1	1000	0	90.124	70.722	33.717	34.897	22.775	19.658	0.731566	0.319409	2.10975e-06	3.01434e-06	
He	4	2	8.99	19.9996	2	1000	0	180.504	141.75	68.289	70.699	45.476	41.18	0.527893	0.654008	3.1096e-06	6.17881e-06	
He	4	2	8.99	19.9996	4	1000	0	360.829	283.434	135.728	140.334	86.919	91.322	0.268716	1.34704	3.26233e-06	1.27737e-05	
