Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
B	0	4202480	4.83	3.41668e+07	0.5	1000	0	4.518	3.56	14.851	18.084	2.625	129.71	0.658024	0.775088	1.63987e-06	7.91271e-06	
B	0	4202480	4.83	3.41668e+07	1	1000	0	8.935	6.998	28.804	34.887	5.001	252.892	0.428393	1.50884	2.20345e-06	1.54062e-05	
B	0	4202480	4.83	3.41668e+07	2	1000	0	17.974	14.078	57.604	69.713	9.588	530.064	0.185916	3.14112	1.86971e-06	3.20991e-05	
B	0	4202480	4.83	3.41668e+07	4	1000	0	35.929	28.005	115.807	140.056	17.37	1213.3	0.0288227	7.06739	6.19521e-07	7.23724e-05	
B	0	4202480	6.5	3.61989e+07	0.5	1000	0	5.627	4.414	14.809	17.207	3.187	94.151	0.689585	0.58823	1.73222e-06	5.97384e-06	
B	0	4202480	6.5	3.61989e+07	1	1000	0	11.198	8.766	29.994	34.855	6.238	197.618	0.457025	1.22674	2.42908e-06	1.24676e-05	
B	0	4202480	6.5	3.61989e+07	2	1000	0	22.493	17.541	59.018	68.509	11.656	407.587	0.204454	2.50893	2.20397e-06	2.55236e-05	
B	0	4202480	6.5	3.61989e+07	4	1000	0	45.1	35.235	120.398	139.829	20.899	973.534	0.0304226	5.84315	7.19567e-07	5.962e-05	
B	0	4202480	10.48	3.94528e+07	0.5	1000	0	8.118	6.354	15.581	17.312	4.429	62.889	0.718278	0.429453	1.89637e-06	4.31871e-06	
B	0	4202480	10.48	3.94528e+07	1	1000	0	16.312	12.788	31.21	34.559	8.623	126.43	0.510228	0.861824	2.7221e-06	8.6684e-06	
B	0	4202480	10.48	3.94528e+07	2	1000	0	32.724	25.476	62.353	69.178	15.565	289.282	0.236919	1.90978	2.65181e-06	1.92754e-05	
B	0	4202480	10.48	3.94528e+07	4	1000	0	65.538	51.347	125.489	138.969	26.606	697.68	0.0426264	4.43089	1.01646e-06	4.49144e-05	
