Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A1	Foci_processed_24-Sep-2020	71	 2.10	 3.69	59	 1.80	 3.41	585.61	538.86	 0.38	2453.37	 1.28	2299.05
A10	Foci_processed_24-Sep-2020	394	 3.62	 4.23	314	 3.99	 4.33	638.30	553.93	 0.38	2142.44	 1.27	5669.09
A11	Foci_processed_24-Sep-2020	59	 2.83	 4.06	50	 2.76	 3.61	604.61	528.00	 0.38	2328.70	 1.22	3832.12
A12	Foci_processed_24-Sep-2020	402	 2.58	 4.01	339	 2.61	 4.06	601.65	547.06	 0.33	2729.92	 1.25	3568.96
A2	Foci_processed_24-Sep-2020	337	 2.47	 3.93	266	 2.55	 4.06	660.78	561.27	 0.36	2227.18	 1.26	3689.40
A3	Foci_processed_24-Sep-2020	801	 3.89	 4.36	704	 4.00	 4.34	638.50	551.47	 0.34	2400.63	 1.22	5737.36
A4	Foci_processed_24-Sep-2020	800	 5.03	 4.72	722	 5.19	 4.67	627.73	543.54	 0.33	2592.96	 1.19	7509.04
A5	Foci_processed_24-Sep-2020	507	 3.41	 3.97	422	 3.59	 3.89	641.68	558.67	 0.36	2314.94	 1.24	5076.77
A6	Foci_processed_24-Sep-2020	256	 2.66	 3.64	202	 3.10	 3.86	608.25	537.15	 0.38	2146.03	 1.28	3933.82
A7	Foci_processed_24-Sep-2020	315	 4.44	 4.19	259	 4.68	 4.22	635.83	540.23	 0.38	2340.57	 1.21	6702.34
A8	Foci_processed_24-Sep-2020	443	 4.12	 4.98	367	 4.30	 5.04	642.65	555.26	 0.38	2357.69	 1.23	6692.02
A9	Foci_processed_24-Sep-2020	641	 3.95	 4.42	539	 4.24	 4.47	627.18	550.67	 0.36	2320.24	 1.25	6228.59
B1	Foci_processed_24-Sep-2020	26	 0.31	 0.97	22	 0.36	 1.05	591.56	553.49	 0.36	1954.66	 1.31	401.00
B10	Foci_processed_24-Sep-2020	476	 2.55	 3.72	386	 2.75	 3.83	644.84	573.38	 0.38	2487.57	 1.21	3904.81
B11	Foci_processed_24-Sep-2020	174	 1.90	 3.49	147	 1.86	 3.44	646.54	581.10	 0.36	2572.48	 1.21	2808.79
B12	Foci_processed_24-Sep-2020	778	 3.05	 3.91	677	 3.11	 3.86	689.51	608.56	 0.34	3055.39	 1.17	4770.43
B2	Foci_processed_24-Sep-2020	801	 3.08	 3.67	698	 3.06	 3.53	676.81	586.05	 0.33	2224.85	 1.24	4589.75
B3	Foci_processed_24-Sep-2020	426	 3.06	 3.69	355	 3.08	 3.63	632.63	550.82	 0.39	2461.65	 1.22	4128.74
B4	Foci_processed_24-Sep-2020	164	 3.12	 3.62	136	 3.21	 3.43	679.84	570.15	 0.41	2391.08	 1.23	4590.20
B5	Foci_processed_24-Sep-2020	305	 2.09	 2.98	250	 2.11	 2.89	649.28	570.89	 0.40	2283.41	 1.26	2695.98
B6	Foci_processed_24-Sep-2020	794	 2.45	 3.49	705	 2.37	 3.31	648.62	579.07	 0.33	2675.24	 1.21	3442.83
B7	Foci_processed_24-Sep-2020	195	 2.32	 3.66	160	 2.61	 3.63	662.79	577.97	 0.40	2325.31	 1.24	3776.42
B8	Foci_processed_24-Sep-2020	527	 2.15	 3.43	453	 2.11	 3.39	638.26	574.55	 0.37	2463.17	 1.23	2907.64
B9	Foci_processed_24-Sep-2020	634	 2.33	 3.59	523	 2.50	 3.72	652.96	584.00	 0.37	2347.77	 1.26	3647.40
C1	Foci_processed_24-Sep-2020	361	 1.83	 2.85	314	 1.76	 2.72	642.23	571.48	 0.35	2325.87	 1.23	2204.25
C10	Foci_processed_24-Sep-2020	355	 1.49	 2.63	299	 1.35	 2.53	643.00	585.49	 0.37	2570.53	 1.23	1812.12
C11	Foci_processed_24-Sep-2020	780	 1.24	 2.68	677	 1.20	 2.58	644.12	592.17	 0.35	2789.68	 1.18	1675.68
C12	Foci_processed_24-Sep-2020	98	 3.01	 3.71	86	 3.19	 3.79	784.18	700.74	 0.38	2579.68	 1.17	5220.80
C2	Foci_processed_24-Sep-2020	674	 2.67	 3.49	581	 2.61	 3.38	651.52	577.19	 0.34	2309.96	 1.24	3542.76
C3	Foci_processed_24-Sep-2020	562	 2.83	 3.63	475	 2.88	 3.60	645.40	564.60	 0.38	2234.54	 1.26	3982.54
C4	Foci_processed_24-Sep-2020	250	 1.63	 2.75	216	 1.61	 2.67	624.07	559.28	 0.41	2364.31	 1.25	1928.52
C5	Foci_processed_24-Sep-2020	88	 2.53	 3.21	75	 2.68	 3.29	647.45	554.43	 0.40	2325.49	 1.22	3455.49
C6	Foci_processed_24-Sep-2020	801	 2.48	 3.65	712	 2.47	 3.58	667.20	590.23	 0.34	2723.82	 1.20	3612.05
C7	Foci_processed_24-Sep-2020	197	 3.24	 3.48	170	 3.19	 3.37	637.85	554.67	 0.39	2464.84	 1.21	4192.60
C8	Foci_processed_24-Sep-2020	758	 2.44	 3.34	664	 2.43	 3.29	659.12	589.90	 0.34	2820.38	 1.18	3276.19
C9	Foci_processed_24-Sep-2020	379	 2.60	 3.36	318	 2.56	 3.31	650.61	573.93	 0.40	2329.34	 1.23	3355.50
D1	Foci_processed_24-Sep-2020	160	 1.33	 2.52	134	 1.11	 1.84	642.70	579.08	 0.36	2107.84	 1.25	1450.34
D10	Foci_processed_24-Sep-2020	443	 1.76	 2.98	386	 1.81	 2.98	658.93	591.09	 0.37	2599.33	 1.20	2471.86
D11	Foci_processed_24-Sep-2020	154	 1.49	 2.62	128	 1.55	 2.66	654.55	591.02	 0.39	2648.39	 1.18	2063.56
D12	Foci_processed_24-Sep-2020	130	 3.03	 4.19	105	 3.32	 4.41	721.83	628.04	 0.38	2958.90	 1.16	5160.37
D2	Foci_processed_24-Sep-2020	461	 1.64	 2.83	403	 1.68	 2.86	619.45	560.04	 0.37	2278.98	 1.25	2226.59
D3	Foci_processed_24-Sep-2020	82	 1.90	 3.36	66	 1.83	 3.57	592.07	538.58	 0.41	2215.25	 1.27	2251.06
D4	Foci_processed_24-Sep-2020	667	 2.28	 3.49	571	 2.22	 3.44	614.95	555.75	 0.36	2509.53	 1.23	2820.11
D5	Foci_processed_24-Sep-2020	413	 1.81	 3.14	355	 1.67	 2.88	636.15	572.71	 0.36	2487.71	 1.26	2212.01
D6	Foci_processed_24-Sep-2020	757	 2.10	 3.31	668	 2.07	 3.27	619.69	565.15	 0.34	2652.93	 1.19	2771.00
D7	Foci_processed_24-Sep-2020	400	 1.95	 3.22	346	 1.99	 3.21	628.10	564.88	 0.37	2581.44	 1.20	2702.27
D8	Foci_processed_24-Sep-2020	731	 2.89	 3.75	625	 2.98	 3.73	680.43	599.11	 0.34	2832.77	 1.20	4544.56
D9	Foci_processed_24-Sep-2020	501	 1.02	 2.34	420	 0.91	 2.02	627.89	577.94	 0.38	2529.64	 1.26	1153.70
E1	Foci_processed_24-Sep-2020	596	 2.62	 3.54	513	 2.48	 3.38	683.93	601.54	 0.32	2094.51	 1.26	3606.52
E10	Foci_processed_24-Sep-2020	188	 1.75	 2.85	161	 1.66	 2.62	632.63	575.08	 0.39	2386.73	 1.22	2129.21
E11	Foci_processed_24-Sep-2020	787	 1.50	 2.79	681	 1.47	 2.77	630.71	579.17	 0.35	2634.00	 1.21	1924.26
E12	Foci_processed_24-Sep-2020	105	 1.94	 2.70	91	 2.03	 2.74	686.01	610.00	 0.39	2585.41	 1.19	2750.58
E2	Foci_processed_24-Sep-2020	495	 0.79	 1.98	412	 0.58	 1.64	582.06	538.50	 0.34	2613.51	 1.24	667.78
E3	Foci_processed_24-Sep-2020	797	 2.61	 3.61	675	 2.42	 3.41	653.39	575.45	 0.33	2917.80	 1.22	3491.79
E4	Foci_processed_24-Sep-2020	427	 1.27	 2.43	362	 1.12	 2.14	618.45	560.73	 0.38	2709.34	 1.22	1415.36
E5	Foci_processed_24-Sep-2020	309	 1.10	 2.41	253	 1.08	 2.37	614.67	561.78	 0.39	2186.96	 1.26	1471.72
E6	Foci_processed_24-Sep-2020	773	 0.84	 2.16	686	 0.74	 2.09	621.12	576.29	 0.34	2747.51	 1.19	1017.49
E7	Foci_processed_24-Sep-2020	801	 0.70	 1.80	715	 0.55	 1.59	605.68	565.61	 0.34	2878.66	 1.16	671.11
E8	Foci_processed_24-Sep-2020	757	 0.83	 1.89	649	 0.75	 1.75	623.64	577.11	 0.35	2754.22	 1.18	905.62
E9	Foci_processed_24-Sep-2020	529	 1.67	 2.74	450	 1.50	 2.51	618.49	559.67	 0.38	2608.24	 1.19	1822.01
F1	Foci_processed_24-Sep-2020	101	 2.42	 2.86	85	 2.16	 2.56	665.47	570.87	 0.38	2142.36	 1.25	2754.69
F10	Foci_processed_24-Sep-2020	426	 1.57	 2.82	367	 1.44	 2.66	622.62	561.78	 0.37	2664.58	 1.19	1822.99
F11	Foci_processed_24-Sep-2020	101	 0.78	 1.47	89	 0.64	 1.25	618.68	562.39	 0.38	2476.06	 1.18	699.15
F12	Foci_processed_24-Sep-2020	270	 1.34	 2.66	238	 1.09	 2.11	634.83	574.15	 0.37	2690.54	 1.18	1392.08
F2	Foci_processed_24-Sep-2020	189	 3.81	 3.42	172	 3.72	 3.27	644.18	535.23	 0.37	2228.99	 1.21	4761.51
F3	Foci_processed_24-Sep-2020	71	 2.11	 2.49	60	 2.35	 2.57	625.55	537.83	 0.40	2259.14	 1.22	2751.25
F4	Foci_processed_24-Sep-2020	123	 3.39	 3.49	107	 3.16	 3.26	620.64	528.02	 0.39	2386.15	 1.20	3742.15
F5	Foci_processed_24-Sep-2020	276	 2.88	 3.45	227	 2.66	 3.26	630.53	546.03	 0.39	2522.47	 1.20	3258.53
F6	Foci_processed_24-Sep-2020	223	 0.67	 1.87	196	 0.62	 1.89	588.76	537.88	 0.40	2428.54	 1.20	732.14
F7	Foci_processed_24-Sep-2020	229	 0.51	 1.32	196	 0.46	 1.23	592.70	545.68	 0.39	2450.01	 1.21	535.73
F8	Foci_processed_24-Sep-2020	193	 0.60	 1.93	162	 0.49	 1.88	601.55	555.67	 0.38	2457.72	 1.19	651.52
F9	Foci_processed_24-Sep-2020	176	 1.35	 2.62	139	 1.27	 2.46	618.81	553.35	 0.38	2402.30	 1.19	1621.03
G1	Foci_processed_24-Sep-2020	405	 1.46	 2.34	347	 1.28	 2.04	583.48	533.16	 0.35	2206.30	 1.24	1365.01
G10	Foci_processed_24-Sep-2020	555	 0.28	 0.95	482	 0.21	 0.72	582.30	548.27	 0.34	2296.95	 1.22	238.34
G11	Foci_processed_24-Sep-2020	745	 0.37	 1.03	653	 0.32	 0.94	572.15	537.45	 0.33	2454.17	 1.20	344.24
G12	Foci_processed_24-Sep-2020	281	 0.96	 2.28	243	 0.88	 2.09	600.98	554.38	 0.37	2430.56	 1.23	1139.93
G2	Foci_processed_24-Sep-2020	224	 1.22	 2.17	189	 1.21	 2.11	592.21	530.34	 0.35	2234.84	 1.23	1297.08
G3	Foci_processed_24-Sep-2020	298	 1.77	 2.89	268	 1.72	 2.88	578.49	514.93	 0.36	2258.49	 1.23	2025.16
G4	Foci_processed_24-Sep-2020	353	 0.86	 1.84	300	 0.69	 1.55	560.88	511.49	 0.38	2517.83	 1.22	723.59
G5	Foci_processed_24-Sep-2020	650	 1.77	 3.01	561	 1.61	 2.76	591.43	527.04	 0.35	2747.61	 1.22	1964.00
G6	Foci_processed_24-Sep-2020	518	 1.46	 2.66	444	 1.46	 2.69	585.35	532.46	 0.35	2568.62	 1.25	1762.02
G7	Foci_processed_24-Sep-2020	12	 0.50	 1.45	11	 0.55	 1.51	864.18	764.60	 0.32	1591.82	 1.46	1046.91
G8	Foci_processed_24-Sep-2020	261	 0.62	 1.94	211	 0.62	 1.85	565.36	524.99	 0.40	2343.85	 1.24	692.95
G9	Foci_processed_24-Sep-2020	563	 0.24	 0.82	480	 0.17	 0.63	569.07	540.40	 0.33	2242.50	 1.23	188.63
H1	Foci_processed_24-Sep-2020	225	 0.98	 2.22	187	 1.02	 2.26	624.92	575.07	 0.31	1849.07	 1.30	1353.80
H10	Foci_processed_24-Sep-2020	405	 0.73	 1.90	338	 0.69	 1.86	618.13	577.05	 0.35	2315.01	 1.23	856.75
H11	Foci_processed_24-Sep-2020	282	 0.60	 1.70	237	 0.61	 1.76	645.39	601.06	 0.34	2146.09	 1.25	787.62
H12	Foci_processed_24-Sep-2020	364	 1.87	 3.53	312	 1.73	 3.22	816.79	712.57	 0.28	1837.11	 1.25	3029.04
H2	Foci_processed_24-Sep-2020	691	 2.97	 3.53	600	 2.92	 3.48	652.29	573.64	 0.31	2050.83	 1.25	4213.86
H3	Foci_processed_24-Sep-2020	372	 1.42	 2.52	318	 1.26	 2.22	586.48	531.12	 0.35	2385.35	 1.23	1437.86
H4	Foci_processed_24-Sep-2020	482	 1.27	 2.62	415	 1.09	 2.29	574.18	527.29	 0.32	2189.77	 1.23	1295.73
H5	Foci_processed_24-Sep-2020	414	 1.29	 2.62	357	 1.29	 2.59	659.11	581.68	 0.32	1823.82	 1.30	1702.23
H6	Foci_processed_24-Sep-2020	620	 1.41	 2.47	521	 1.33	 2.42	589.78	541.21	 0.34	2591.03	 1.22	1592.86
H7	Foci_processed_24-Sep-2020	536	 1.73	 2.86	463	 1.61	 2.72	603.13	549.03	 0.34	2263.76	 1.24	2016.84
H8	Foci_processed_24-Sep-2020	765	 1.36	 2.50	662	 1.34	 2.44	632.17	578.18	 0.32	2319.07	 1.24	1747.91
H9	Foci_processed_24-Sep-2020	677	 1.61	 2.89	587	 1.53	 2.71	671.85	615.09	 0.30	2087.70	 1.24	2295.03
