Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A1	Foci_processed_07-Feb-2020	712	 1.24	 1.68	584	 1.15	 1.57	545.71	346.24	 0.97	1644.67	 1.24	2106.44
A10	Foci_processed_07-Feb-2020	696	 2.49	 2.72	574	 2.50	 2.63	480.13	335.31	 1.04	1030.82	 1.42	3218.71
A11	Foci_processed_07-Feb-2020	762	 2.01	 2.27	623	 1.98	 2.21	563.25	359.06	 1.15	1058.26	 1.38	3369.87
A12	Foci_processed_07-Feb-2020	731	 1.70	 1.94	624	 1.56	 1.85	627.72	378.90	 0.96	1314.78	 1.25	2849.43
A2	Foci_processed_07-Feb-2020	719	 2.18	 2.29	587	 2.24	 2.28	624.02	363.45	 1.19	1498.08	 1.24	4773.89
A3	Foci_processed_07-Feb-2020	547	 1.69	 1.99	463	 1.51	 1.73	432.27	300.00	 0.87	1414.24	 1.24	2177.53
A4	Foci_processed_07-Feb-2020	782	 1.51	 2.13	671	 1.25	 1.74	449.21	318.76	 0.83	1756.87	 1.20	1741.56
A5	Foci_processed_07-Feb-2020	793	 1.27	 1.96	664	 1.15	 1.87	392.97	270.26	 0.90	1611.59	 1.22	1387.64
A6	Foci_processed_07-Feb-2020	736	 1.56	 2.07	627	 1.47	 1.93	483.80	324.43	 0.88	1816.72	 1.23	2026.06
A7	Foci_processed_07-Feb-2020	790	 2.09	 2.33	661	 1.99	 2.15	539.00	337.21	 1.01	1638.30	 1.24	2996.89
A8	Foci_processed_07-Feb-2020	793	 2.37	 2.33	678	 2.40	 2.31	603.81	373.69	 1.22	1095.53	 1.34	4725.19
A9	Foci_processed_07-Feb-2020	766	 2.16	 2.36	653	 2.03	 2.17	564.57	367.87	 1.05	1285.23	 1.31	3356.00
B1	Foci_processed_07-Feb-2020	661	 1.63	 1.77	545	 1.67	 1.71	583.55	322.57	 1.20	1258.35	 1.28	3138.19
B10	Foci_processed_07-Feb-2020	766	 1.84	 2.37	627	 1.85	 2.41	428.54	268.18	 0.95	1376.28	 1.27	2116.45
B11	Foci_processed_07-Feb-2020	784	 1.04	 1.86	650	 0.92	 1.64	340.35	259.67	 0.87	1338.90	 1.24	869.66
B12	Foci_processed_07-Feb-2020	801	 1.71	 2.48	696	 1.53	 2.22	405.17	267.31	 0.81	1267.22	 1.26	1566.97
B2	Foci_processed_07-Feb-2020	749	 1.47	 2.09	666	 1.35	 1.91	422.47	258.68	 0.90	1649.05	 1.21	1769.41
B3	Foci_processed_07-Feb-2020	720	 1.33	 2.08	578	 1.16	 1.92	354.07	250.31	 0.91	1453.70	 1.29	1347.62
B4	Foci_processed_07-Feb-2020	792	 1.73	 2.13	667	 1.65	 2.01	438.12	261.81	 0.91	1495.09	 1.22	2165.27
B5	Foci_processed_07-Feb-2020	703	 1.56	 2.18	603	 1.43	 1.97	438.71	295.74	 0.92	1461.81	 1.27	2034.83
B6	Foci_processed_07-Feb-2020	789	 1.28	 1.97	686	 1.10	 1.74	388.77	260.42	 0.90	1711.75	 1.19	1470.30
B7	Foci_processed_07-Feb-2020	757	 1.55	 2.09	649	 1.44	 1.99	398.36	277.47	 0.89	1809.22	 1.19	1580.94
B8	Foci_processed_07-Feb-2020	788	 1.69	 2.27	664	 1.57	 2.21	398.14	270.05	 0.87	1683.24	 1.23	1984.57
B9	Foci_processed_07-Feb-2020	765	 1.85	 2.06	632	 1.78	 1.96	521.23	331.23	 1.04	1432.15	 1.25	2951.46
C1	Foci_processed_07-Feb-2020	757	 1.81	 2.63	641	 1.74	 2.53	341.39	243.85	 0.86	1535.72	 1.29	1741.62
C10	Foci_processed_07-Feb-2020	757	 0.86	 1.67	663	 0.74	 1.45	369.34	277.04	 0.82	1712.18	 1.22	848.96
C11	Foci_processed_07-Feb-2020	766	 1.51	 2.13	634	 1.22	 1.77	397.25	263.58	 0.92	1310.13	 1.25	1561.18
C12	Foci_processed_07-Feb-2020	785	 1.42	 2.03	694	 1.25	 1.75	458.01	301.04	 0.99	1288.49	 1.27	1759.72
C2	Foci_processed_07-Feb-2020	668	 2.72	 3.11	571	 2.62	 3.08	385.66	250.98	 0.97	1150.46	 1.46	2950.79
C3	Foci_processed_07-Feb-2020	752	 1.51	 1.83	623	 1.48	 1.81	379.33	253.75	 0.93	1488.07	 1.27	1820.79
C4	Foci_processed_07-Feb-2020	637	 2.17	 2.80	529	 2.03	 2.62	354.83	234.89	 0.89	1468.33	 1.28	1949.19
C5	Foci_processed_07-Feb-2020	786	 1.20	 2.00	658	 1.07	 1.72	360.06	244.45	 0.82	1676.68	 1.22	1224.86
C6	Foci_processed_07-Feb-2020	742	 1.55	 2.25	631	 1.41	 2.08	373.67	254.13	 0.86	1721.74	 1.26	1461.40
C7	Foci_processed_07-Feb-2020	575	 1.20	 1.97	482	 1.13	 1.84	353.13	255.67	 0.77	2076.23	 1.17	1158.79
C8	Foci_processed_07-Feb-2020	778	 1.36	 1.94	660	 1.19	 1.76	410.70	280.41	 0.86	1587.20	 1.23	1390.71
C9	Foci_processed_07-Feb-2020	785	 1.35	 2.10	655	 1.16	 1.92	435.36	284.29	 0.87	1637.83	 1.21	1659.18
D1	Foci_processed_07-Feb-2020	625	 0.38	 0.97	544	 0.34	 0.90	275.67	239.85	 0.70	1468.64	 1.54	282.63
D10	Foci_processed_07-Feb-2020	760	 1.59	 2.24	616	 1.37	 1.94	406.22	258.11	 0.94	1214.51	 1.30	1412.99
D11	Foci_processed_07-Feb-2020	534	 1.41	 1.95	464	 1.39	 1.92	406.38	283.53	 0.86	1486.92	 1.22	1344.12
D12	Foci_processed_07-Feb-2020	796	 0.88	 1.38	673	 0.86	 1.37	347.53	265.58	 0.80	1684.79	 1.17	788.31
D2	Foci_processed_07-Feb-2020	738	 1.14	 1.92	616	 1.01	 1.78	299.72	225.72	 0.86	1641.78	 1.25	884.75
D3	Foci_processed_07-Feb-2020	612	 1.57	 2.34	504	 1.45	 2.17	350.41	256.51	 0.81	1850.15	 1.25	1365.86
D4	Foci_processed_07-Feb-2020	759	 1.15	 2.18	648	 1.12	 2.10	293.93	225.66	 0.87	1714.40	 1.26	972.36
D5	Foci_processed_07-Feb-2020	552	 1.62	 2.43	456	 1.70	 2.46	358.19	254.76	 0.88	1670.87	 1.25	1575.72
D6	Foci_processed_07-Feb-2020	200	 1.91	 2.58	161	 1.61	 2.01	316.25	226.26	 0.93	1512.69	 1.31	1412.99
D7	Foci_processed_07-Feb-2020	748	 1.58	 2.56	624	 1.48	 2.28	340.08	251.16	 0.88	1426.14	 1.30	1387.49
D8	Foci_processed_07-Feb-2020	771	 1.49	 2.42	643	 1.35	 2.10	341.01	247.18	 0.87	1650.81	 1.23	1214.74
D9	Foci_processed_07-Feb-2020	711	 1.97	 2.63	612	 1.74	 2.37	419.53	287.78	 1.04	1448.62	 1.31	2202.42
E1	Foci_processed_07-Feb-2020	782	 1.96	 2.89	650	 1.77	 2.65	321.11	234.25	 0.94	1240.09	 1.29	1674.61
E10	Foci_processed_07-Feb-2020	758	 1.14	 1.89	658	 1.02	 1.77	403.21	289.64	 0.77	1840.02	 1.22	1078.33
E11	Foci_processed_07-Feb-2020	793	 1.23	 1.86	658	 1.21	 1.80	387.10	265.04	 0.81	1595.89	 1.21	1328.12
E12	Foci_processed_07-Feb-2020	270	 0.76	 1.39	230	 0.67	 1.22	375.92	261.00	 0.88	1318.39	 1.26	645.65
E2	Foci_processed_07-Feb-2020	741	 1.35	 2.36	627	 1.21	 2.17	323.12	231.95	 0.88	1591.73	 1.27	1183.51
E3	Foci_processed_07-Feb-2020	781	 1.22	 2.48	641	 1.03	 2.18	299.19	221.83	 0.87	1692.18	 1.23	939.39
E4	Foci_processed_07-Feb-2020	717	 1.19	 2.15	579	 1.12	 2.03	297.67	224.99	 1.05	1149.52	 1.36	946.87
E5	Foci_processed_07-Feb-2020	785	 1.26	 2.35	634	 1.12	 2.15	295.32	217.29	 0.91	1533.85	 1.28	1038.62
E6	Foci_processed_07-Feb-2020	776	 1.27	 2.09	658	 1.15	 1.99	341.10	241.34	 0.79	1348.96	 1.30	1053.49
E7	Foci_processed_07-Feb-2020	746	 1.42	 2.40	610	 1.39	 2.39	320.45	231.75	 0.92	1462.89	 1.31	1302.00
E8	Foci_processed_07-Feb-2020	717	 2.15	 2.63	599	 2.09	 2.61	409.31	268.64	 0.84	1440.04	 1.33	2250.00
E9	Foci_processed_07-Feb-2020	774	 2.50	 2.71	674	 2.43	 2.58	400.64	247.95	 0.80	1144.24	 1.37	2568.94
F1	Foci_processed_07-Feb-2020	374	 1.89	 2.77	295	 1.67	 2.52	385.24	249.12	 0.99	1213.12	 1.32	1711.43
F10	Foci_processed_07-Feb-2020	513	 1.92	 2.45	441	 1.74	 2.28	537.18	331.71	 0.95	1518.60	 1.29	2510.08
F11	Foci_processed_07-Feb-2020	289	 1.81	 2.65	241	 1.50	 2.24	506.24	304.66	 0.91	1432.97	 1.27	1969.88
F12	Foci_processed_07-Feb-2020	98	 2.53	 2.75	76	 2.64	 2.73	471.76	267.80	 1.03	1326.00	 1.25	2814.08
F2	Foci_processed_07-Feb-2020	403	 2.84	 3.56	317	 2.66	 3.26	410.79	238.97	 1.17	1439.80	 1.26	2949.55
F3	Foci_processed_07-Feb-2020	241	 2.34	 2.93	190	 2.38	 2.96	370.65	216.66	 0.92	1375.07	 1.31	2307.20
F4	Foci_processed_07-Feb-2020	177	 2.75	 3.41	137	 2.88	 3.57	426.41	234.08	 0.99	1270.74	 1.31	3493.09
F5	Foci_processed_07-Feb-2020	684	 2.49	 3.02	551	 2.40	 2.84	470.82	272.02	 0.93	1433.38	 1.29	3101.77
F6	Foci_processed_07-Feb-2020	520	 2.08	 2.90	415	 2.13	 2.88	382.88	232.26	 1.13	1353.83	 1.25	2363.33
F7	Foci_processed_07-Feb-2020	366	 1.72	 2.61	302	 1.60	 2.53	351.44	239.09	 0.93	1576.39	 1.30	1700.15
F8	Foci_processed_07-Feb-2020	317	 2.07	 3.04	255	 2.12	 3.09	410.14	246.87	 1.00	1445.68	 1.30	2404.58
F9	Foci_processed_07-Feb-2020	244	 2.89	 3.15	193	 3.05	 3.16	422.55	263.90	 1.36	1292.15	 1.27	3359.24
G1	Foci_processed_07-Feb-2020	745	 1.84	 2.83	610	 1.63	 2.49	352.80	244.28	 1.01	1183.05	 1.38	1963.25
G10	Foci_processed_07-Feb-2020	634	 1.48	 2.19	525	 1.44	 2.13	385.40	262.10	 0.91	1380.10	 1.32	1496.70
G11	Foci_processed_07-Feb-2020	775	 1.59	 2.61	649	 1.40	 2.16	369.10	247.42	 0.85	1454.54	 1.29	1442.39
G12	Foci_processed_07-Feb-2020	434	 1.29	 2.21	353	 1.15	 1.87	384.22	265.90	 0.87	1391.54	 1.24	1141.72
G2	Foci_processed_07-Feb-2020	756	 1.60	 2.74	607	 1.55	 2.61	301.16	217.33	 0.94	1206.65	 1.38	1359.74
G3	Foci_processed_07-Feb-2020	553	 2.95	 3.39	454	 2.75	 3.09	310.52	206.32	 0.91	1304.63	 1.40	2298.22
G4	Foci_processed_07-Feb-2020	757	 1.95	 2.71	637	 1.82	 2.57	331.85	225.95	 0.83	1348.19	 1.36	1618.48
G5	Foci_processed_07-Feb-2020	779	 1.70	 2.67	657	 1.64	 2.55	312.64	218.24	 0.86	1448.21	 1.30	1469.51
G6	Foci_processed_07-Feb-2020	704	 1.95	 2.59	602	 1.83	 2.50	365.81	252.38	 0.83	1479.91	 1.33	1720.38
G7	Foci_processed_07-Feb-2020	495	 2.23	 2.82	398	 2.07	 2.66	329.59	227.35	 0.89	1405.70	 1.32	1746.72
G8	Foci_processed_07-Feb-2020	351	 2.13	 2.75	280	 2.03	 2.55	376.51	251.87	 0.94	1351.37	 1.36	1966.65
G9	Foci_processed_07-Feb-2020	714	 1.61	 2.62	602	 1.43	 2.39	355.48	245.00	 0.89	1359.28	 1.36	1463.37
H1	Foci_processed_07-Feb-2020	779	 1.36	 2.24	666	 1.24	 2.10	314.49	257.69	 0.90	1433.16	 1.36	1010.11
H10	Foci_processed_07-Feb-2020	789	 1.49	 2.18	657	 1.29	 1.83	455.35	297.26	 0.87	1763.77	 1.27	1766.23
H11	Foci_processed_07-Feb-2020	763	 1.30	 2.17	641	 1.09	 1.88	382.01	263.63	 0.86	1580.20	 1.26	1210.47
H12	Foci_processed_07-Feb-2020	492	 1.20	 1.89	417	 1.04	 1.69	422.97	284.89	 0.87	1655.26	 1.28	1210.12
H2	Foci_processed_07-Feb-2020	628	 1.99	 2.91	524	 1.93	 2.77	332.09	232.25	 0.87	1855.43	 1.24	1895.80
H3	Foci_processed_07-Feb-2020	796	 2.42	 3.17	670	 2.18	 2.91	305.58	220.63	 0.85	1813.60	 1.26	1860.62
H4	Foci_processed_07-Feb-2020	780	 1.50	 2.73	656	 1.26	 2.38	279.50	216.08	 0.84	1515.83	 1.32	1003.12
H5	Foci_processed_07-Feb-2020	739	 1.96	 2.78	618	 1.86	 2.66	331.54	230.30	 0.87	1595.23	 1.26	1717.36
H6	Foci_processed_07-Feb-2020	794	 1.36	 2.28	672	 1.25	 2.10	325.98	239.04	 0.77	1939.25	 1.21	1148.35
H7	Foci_processed_07-Feb-2020	652	 1.40	 2.14	543	 1.33	 2.08	315.86	237.73	 0.84	1933.13	 1.23	1162.43
H8	Foci_processed_07-Feb-2020	776	 1.09	 1.88	668	 1.03	 1.85	346.85	259.06	 0.73	2166.95	 1.21	1061.37
H9	Foci_processed_07-Feb-2020	801	 0.86	 1.65	711	 0.78	 1.54	319.91	254.59	 0.75	2080.25	 1.22	659.33
