Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
F4	Foci_processed_14-Sep-2020	189	 3.88	 4.11	170	 3.76	 3.93	663.94	520.17	 0.38	2671.79	 1.17	5360.19
F5	Foci_processed_14-Sep-2020	381	 3.09	 3.59	348	 3.05	 3.48	692.53	548.53	 0.33	2275.54	 1.20	4371.23
F6	Foci_processed_14-Sep-2020	161	 3.25	 3.93	133	 3.40	 3.76	663.25	537.85	 0.39	2859.63	 1.16	4575.18
F7	Foci_processed_14-Sep-2020	225	 4.06	 4.19	201	 3.99	 4.08	706.81	551.55	 0.38	2977.09	 1.16	6230.88
F8	Foci_processed_14-Sep-2020	140	 2.69	 3.51	116	 2.90	 3.43	662.06	539.47	 0.39	2843.99	 1.17	4297.15
F9	Foci_processed_14-Sep-2020	115	 4.23	 3.83	101	 3.93	 3.22	708.23	560.67	 0.39	2826.26	 1.17	5853.77
G1	Foci_processed_14-Sep-2020	457	 1.59	 2.50	382	 1.55	 2.45	605.63	516.35	 0.36	2569.91	 1.18	1821.68
G10	Foci_processed_14-Sep-2020	626	 1.63	 2.59	535	 1.60	 2.48	648.35	538.27	 0.31	2152.39	 1.21	2634.71
G11	Foci_processed_14-Sep-2020	532	 2.24	 3.16	454	 2.20	 3.00	632.48	519.77	 0.34	2796.53	 1.16	3344.22
G12	Foci_processed_14-Sep-2020	250	 1.80	 2.99	203	 1.87	 2.96	654.74	539.94	 0.37	2606.25	 1.17	3296.23
G2	Foci_processed_14-Sep-2020	435	 1.77	 2.73	369	 1.85	 2.71	605.87	504.50	 0.35	2567.59	 1.17	2231.53
G3	Foci_processed_14-Sep-2020	360	 2.29	 3.43	320	 2.31	 3.42	596.27	496.92	 0.35	2771.57	 1.17	3098.49
G4	Foci_processed_14-Sep-2020	505	 1.63	 2.67	445	 1.55	 2.57	608.28	512.98	 0.36	2798.84	 1.17	1902.59
G5	Foci_processed_14-Sep-2020	633	 2.22	 3.22	546	 2.05	 2.97	600.73	504.64	 0.35	2690.87	 1.18	2539.59
G6	Foci_processed_14-Sep-2020	548	 2.18	 3.09	464	 2.19	 3.13	638.81	521.19	 0.36	2564.72	 1.19	3115.46
G7	Foci_processed_14-Sep-2020	515	 1.79	 2.58	456	 1.78	 2.53	598.61	509.51	 0.38	2942.86	 1.17	2064.07
G8	Foci_processed_14-Sep-2020	202	 2.18	 3.39	170	 2.23	 3.29	613.08	518.08	 0.38	2644.94	 1.20	3311.72
G9	Foci_processed_14-Sep-2020	762	 1.62	 2.68	664	 1.66	 2.69	652.14	532.55	 0.33	2544.06	 1.21	2463.00
H1	Foci_processed_14-Sep-2020	131	 1.39	 2.65	102	 0.90	 1.98	665.53	588.18	 0.29	1952.89	 1.26	1168.39
H10	Foci_processed_14-Sep-2020	484	 1.57	 2.85	414	 1.48	 2.55	635.01	545.80	 0.36	2747.56	 1.17	2224.03
H11	Foci_processed_14-Sep-2020	348	 0.66	 1.55	305	 0.61	 1.52	662.38	588.73	 0.35	2673.15	 1.20	942.68
H12	Foci_processed_14-Sep-2020	609	 0.89	 1.96	504	 0.85	 1.86	662.17	589.63	 0.32	2671.72	 1.18	1329.93
H2	Foci_processed_14-Sep-2020	781	 2.12	 2.74	673	 2.10	 2.60	717.75	548.37	 0.32	2451.44	 1.18	3797.59
H3	Foci_processed_14-Sep-2020	447	 2.15	 3.17	388	 1.99	 2.97	623.98	537.06	 0.33	2576.78	 1.17	2599.38
H4	Foci_processed_14-Sep-2020	778	 1.73	 2.79	675	 1.69	 2.72	597.57	513.13	 0.32	2678.00	 1.18	2359.69
H5	Foci_processed_14-Sep-2020	624	 2.09	 2.89	510	 2.12	 2.75	694.22	535.70	 0.38	2563.90	 1.21	3326.92
H6	Foci_processed_14-Sep-2020	656	 1.96	 2.86	551	 1.92	 2.77	640.85	537.13	 0.32	2613.29	 1.18	2856.18
H7	Foci_processed_14-Sep-2020	771	 2.10	 2.99	643	 1.97	 2.77	630.56	539.74	 0.32	2770.64	 1.18	2985.02
H8	Foci_processed_14-Sep-2020	794	 2.73	 3.07	698	 2.67	 2.95	675.72	540.72	 0.32	2941.22	 1.15	4784.35
H9	Foci_processed_14-Sep-2020	801	 2.25	 2.68	709	 2.30	 2.65	682.25	551.63	 0.33	2680.30	 1.17	3950.43
