Well#	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A1	Foci_processed_27-Jul-2020	801	 0.58	 1.17	636	 0.52	 1.00	544.26	401.94	 0.64	9194.72	 1.09	2254.63
A10	Foci_processed_27-Jul-2020	801	 1.18	 1.45	653	 1.12	 1.26	664.86	504.01	 0.77	7845.98	 1.12	5219.75
A11	Foci_processed_27-Jul-2020	787	 0.89	 1.22	641	 0.90	 1.21	625.46	470.63	 0.70	8160.56	 1.10	3925.44
A12	Foci_processed_27-Jul-2020	635	 1.00	 1.25	536	 1.01	 1.24	572.91	435.28	 0.74	7866.57	 1.09	4415.80
A2	Foci_processed_27-Jul-2020	801	 0.63	 1.12	647	 0.61	 0.98	516.17	390.76	 0.71	8053.56	 1.10	2509.01
A3	Foci_processed_27-Jul-2020	801	 0.98	 1.58	672	 0.93	 1.45	624.38	445.80	 0.61	9247.86	 1.09	4382.63
A4	Foci_processed_27-Jul-2020	801	 0.82	 1.35	668	 0.78	 1.13	545.24	411.88	 0.69	8218.82	 1.09	3433.53
A5	Foci_processed_27-Jul-2020	801	 1.09	 1.42	648	 0.98	 1.26	616.09	454.75	 0.62	9154.08	 1.09	4486.18
A6	Foci_processed_27-Jul-2020	801	 1.25	 1.33	635	 1.22	 1.32	600.60	458.52	 0.67	8918.31	 1.12	6044.74
A7	Foci_processed_27-Jul-2020	801	 1.12	 1.24	618	 1.10	 1.18	791.40	644.33	 0.59	9022.90	 1.10	5386.17
A8	Foci_processed_27-Jul-2020	801	 1.16	 1.18	650	 1.11	 1.08	546.69	439.08	 0.70	8544.17	 1.10	5011.80
A9	Foci_processed_27-Jul-2020	801	 1.22	 1.27	654	 1.09	 1.10	606.93	473.51	 0.66	8977.94	 1.10	5142.71
B1	Foci_processed_27-Jul-2020	801	 0.91	 1.12	649	 0.81	 0.98	573.18	449.63	 0.61	9820.00	 1.10	3505.29
B10	Foci_processed_27-Jul-2020	801	 1.21	 1.31	677	 1.19	 1.26	789.34	571.80	 0.57	10656.73	 1.07	5533.44
B11	Foci_processed_27-Jul-2020	801	 1.16	 1.39	675	 1.00	 1.18	721.71	547.98	 0.54	11092.95	 1.08	4455.10
B12	Foci_processed_27-Jul-2020	781	 1.20	 1.22	676	 1.17	 1.13	780.39	578.72	 0.56	10947.51	 1.08	5566.03
B2	Foci_processed_27-Jul-2020	801	 1.47	 1.35	672	 1.37	 1.26	734.68	521.54	 0.54	11058.37	 1.09	6641.36
B3	Foci_processed_27-Jul-2020	801	 0.73	 1.09	662	 0.68	 1.03	594.13	450.49	 0.63	9531.39	 1.08	3050.65
B4	Foci_processed_27-Jul-2020	651	 0.87	 1.88	562	 0.84	 1.27	615.97	449.86	 0.56	10361.99	 1.05	3586.87
B5	Foci_processed_27-Jul-2020	801	 1.09	 1.28	677	 0.99	 1.11	637.79	476.24	 0.57	10731.30	 1.07	4350.59
B6	Foci_processed_27-Jul-2020	801	 0.73	 1.12	670	 0.71	 1.07	732.56	560.14	 0.59	9484.21	 1.07	3153.16
B7	Foci_processed_27-Jul-2020	801	 0.96	 1.18	636	 0.91	 1.07	647.08	501.52	 0.63	9533.14	 1.07	4065.34
B8	Foci_processed_27-Jul-2020	801	 1.17	 1.40	676	 1.05	 1.24	707.21	524.92	 0.56	10466.24	 1.07	4796.34
B9	Foci_processed_27-Jul-2020	801	 1.07	 1.25	671	 0.94	 1.10	734.55	567.72	 0.55	10771.50	 1.10	4200.53
C1	Foci_processed_27-Jul-2020	801	 1.01	 1.24	658	 0.93	 1.08	602.75	458.63	 0.59	10036.70	 1.08	4094.12
C10	Foci_processed_27-Jul-2020	801	 1.06	 1.18	672	 1.06	 1.17	746.54	575.87	 0.60	10311.72	 1.10	4824.85
C11	Foci_processed_27-Jul-2020	801	 0.99	 1.33	661	 0.93	 1.21	709.91	553.02	 0.56	10716.29	 1.09	4156.84
C12	Foci_processed_27-Jul-2020	801	 0.89	 1.05	648	 0.83	 0.98	729.77	583.04	 0.63	9052.08	 1.10	3708.77
C2	Foci_processed_27-Jul-2020	801	 0.94	 1.36	645	 0.85	 1.22	623.93	475.28	 0.62	9403.64	 1.08	3647.36
C3	Foci_processed_27-Jul-2020	801	 1.07	 1.34	688	 1.03	 1.28	636.21	470.22	 0.54	10496.43	 1.08	4647.49
C4	Foci_processed_27-Jul-2020	801	 0.72	 1.02	669	 0.71	 1.02	666.56	513.47	 0.58	9758.71	 1.11	2990.64
C5	Foci_processed_27-Jul-2020	801	 1.05	 1.30	661	 0.99	 1.19	664.26	493.64	 0.56	10293.83	 1.09	4444.81
C6	Foci_processed_27-Jul-2020	801	 0.92	 1.15	672	 0.91	 1.13	695.34	524.25	 0.58	10595.37	 1.07	4016.56
C7	Foci_processed_27-Jul-2020	801	 0.70	 1.19	700	 0.72	 1.20	571.48	432.22	 0.49	12038.40	 1.04	3101.84
C8	Foci_processed_27-Jul-2020	801	 0.68	 1.10	671	 0.64	 1.04	631.27	506.72	 0.56	10136.77	 1.08	2891.31
C9	Foci_processed_27-Jul-2020	801	 0.78	 1.08	658	 0.71	 1.00	633.44	494.01	 0.53	11003.55	 1.07	3177.13
D1	Foci_processed_27-Jul-2020	801	 0.95	 1.06	667	 0.88	 0.96	649.04	523.21	 0.61	9008.51	 1.15	4148.51
