Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A10	Foci_processed_10-Mar-2020	405	 0.42	 0.82	355	 0.38	 0.79	1505.47	1265.33	 0.18	2125.52	 1.12	1473.37
A11	Foci_processed_10-Mar-2020	507	 0.93	 1.19	463	 0.88	 1.13	1732.80	1296.42	 0.19	2221.82	 1.11	3159.85
A12	Foci_processed_10-Mar-2020	400	 0.34	 0.86	324	 0.25	 0.65	1509.87	1315.95	 0.19	2716.09	 1.09	915.90
A2	Foci_processed_10-Mar-2020	39	 1.15	 1.27	27	 1.00	 1.04	1608.72	1349.63	 0.19	2130.88	 1.08	3125.63
A3	Foci_processed_10-Mar-2020	169	 0.57	 1.12	152	 0.51	 1.05	1030.65	855.04	 0.19	2457.42	 1.10	1302.26
A4	Foci_processed_10-Mar-2020	58	 0.55	 0.94	53	 0.53	 0.97	1588.65	1305.49	 0.14	1441.19	 1.12	1906.57
A5	Foci_processed_10-Mar-2020	203	 0.75	 1.29	188	 0.76	 1.32	1174.07	944.20	 0.19	2408.46	 1.10	2245.16
A6	Foci_processed_10-Mar-2020	688	 0.55	 1.05	592	 0.51	 1.02	1354.27	1152.36	 0.17	2067.35	 1.12	1802.08
A7	Foci_processed_10-Mar-2020	299	 0.44	 1.01	273	 0.37	 0.91	1560.32	1356.41	 0.17	2424.05	 1.09	1321.30
A8	Foci_processed_10-Mar-2020	378	 0.65	 1.10	341	 0.59	 1.05	1512.74	1251.78	 0.19	2565.54	 1.09	2389.15
A9	Foci_processed_10-Mar-2020	222	 0.43	 1.04	202	 0.41	 1.04	1540.14	1301.10	 0.16	1949.13	 1.14	1678.76
B1	Foci_processed_10-Mar-2020	6	 1.50	 1.76	6	 1.50	 1.76	1339.89	975.84	 0.13	1160.29	 1.51	5483.67
B10	Foci_processed_10-Mar-2020	592	 0.91	 1.16	539	 0.89	 1.15	1253.48	863.90	 0.20	2337.69	 1.13	3494.76
B11	Foci_processed_10-Mar-2020	119	 0.34	 0.72	96	 0.29	 0.63	1594.26	1301.02	 0.14	1547.55	 1.14	964.83
B12	Foci_processed_10-Mar-2020	148	 0.81	 1.01	122	 0.77	 1.01	1457.72	1042.45	 0.20	2528.32	 1.08	2375.52
B4	Foci_processed_10-Mar-2020	455	 1.23	 1.44	409	 1.18	 1.35	1135.33	817.66	 0.20	2311.06	 1.14	4318.98
B6	Foci_processed_10-Mar-2020	473	 1.36	 1.64	417	 1.27	 1.58	1088.34	835.82	 0.21	2478.93	 1.13	4485.00
B7	Foci_processed_10-Mar-2020	339	 0.56	 0.99	273	 0.50	 0.97	1183.94	974.53	 0.18	2365.70	 1.10	1617.18
B8	Foci_processed_10-Mar-2020	262	 0.83	 1.11	244	 0.83	 1.09	1378.50	1004.31	 0.18	2474.52	 1.08	2566.69
C1	Foci_processed_10-Mar-2020	208	 1.51	 1.69	192	 1.43	 1.64	934.88	710.85	 0.19	2249.24	 1.10	3330.83
C10	Foci_processed_10-Mar-2020	233	 1.03	 1.23	185	 1.05	 1.22	1248.99	915.31	 0.21	2519.00	 1.11	3386.59
C11	Foci_processed_10-Mar-2020	189	 0.86	 1.21	170	 0.84	 1.20	1299.86	962.27	 0.21	2539.72	 1.10	2928.13
C12	Foci_processed_10-Mar-2020	299	 1.02	 1.35	267	 0.96	 1.32	1414.82	1065.26	 0.21	2339.93	 1.13	3784.27
