Well#	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
G1	Foci_processed_06-Jul-2020	544	 0.29	 0.90	450	 0.25	 0.72	664.89	523.42	 0.53	10029.00	 1.08	1010.09
G10	Foci_processed_06-Jul-2020	801	 0.86	 2.01	678	 0.89	 1.99	692.40	555.00	 0.51	9280.87	 1.09	4034.02
G11	Foci_processed_06-Jul-2020	801	 0.65	 1.46	667	 0.67	 1.48	639.80	472.50	 0.53	9805.81	 1.09	2995.07
G12	Foci_processed_06-Jul-2020	655	 0.50	 1.35	539	 0.46	 1.26	729.40	604.22	 0.55	9428.22	 1.08	1974.68
G2	Foci_processed_06-Jul-2020	678	 0.37	 1.00	566	 0.35	 0.95	1235.57	1104.61	 0.52	9669.02	 1.07	1378.77
G3	Foci_processed_06-Jul-2020	397	 0.71	 1.60	342	 0.77	 1.66	1027.96	875.20	 0.52	9511.72	 1.08	3367.39
G4	Foci_processed_06-Jul-2020	629	 0.22	 0.75	536	 0.19	 0.63	601.91	449.80	 0.55	9735.15	 1.09	710.82
G5	Foci_processed_06-Jul-2020	801	 0.36	 1.05	674	 0.28	 0.88	583.99	446.33	 0.53	9697.23	 1.08	1171.26
G6	Foci_processed_06-Jul-2020	571	 0.72	 1.56	500	 0.79	 1.63	651.74	492.65	 0.56	9981.26	 1.09	3455.96
G7	Foci_processed_06-Jul-2020	531	 0.13	 0.63	451	 0.14	 0.68	566.46	423.90	 0.57	9437.43	 1.10	540.23
G8	Foci_processed_06-Jul-2020	300	 0.46	 1.31	254	 0.40	 1.15	554.57	417.28	 0.55	8618.72	 1.10	1559.81
G9	Foci_processed_06-Jul-2020	801	 0.25	 0.96	674	 0.22	 0.87	563.19	469.21	 0.53	8676.93	 1.10	956.62
H1	Foci_processed_06-Jul-2020	479	 0.37	 1.06	426	 0.38	 1.07	691.49	530.89	 0.47	11192.41	 1.05	1560.17
H10	Foci_processed_06-Jul-2020	579	 1.07	 1.89	513	 1.16	 1.92	719.31	502.16	 0.50	10291.56	 1.05	5057.44
H11	Foci_processed_06-Jul-2020	435	 0.96	 1.75	365	 0.94	 1.67	761.55	544.07	 0.52	10222.90	 1.05	4002.77
H12	Foci_processed_06-Jul-2020	597	 0.94	 2.21	507	 0.91	 2.06	646.23	507.90	 0.49	10551.83	 1.06	3815.60
H2	Foci_processed_06-Jul-2020	801	 1.56	 1.98	685	 1.64	 1.99	804.96	588.25	 0.50	10479.81	 1.06	7984.47
H3	Foci_processed_06-Jul-2020	666	 0.59	 1.46	579	 0.60	 1.46	1085.86	938.99	 0.47	11030.10	 1.06	2405.62
H4	Foci_processed_06-Jul-2020	801	 0.61	 1.50	686	 0.59	 1.42	1096.14	956.07	 0.46	10807.55	 1.07	2444.14
H5	Foci_processed_06-Jul-2020	768	 1.15	 2.02	663	 1.24	 2.07	895.89	701.21	 0.51	10207.83	 1.08	5581.59
H6	Foci_processed_06-Jul-2020	801	 0.65	 1.54	675	 0.63	 1.46	888.61	735.92	 0.49	10823.26	 1.06	2628.60
H7	Foci_processed_06-Jul-2020	724	 0.77	 1.48	632	 0.76	 1.45	650.74	486.35	 0.48	10942.54	 1.06	3266.23
H8	Foci_processed_06-Jul-2020	801	 1.40	 2.02	701	 1.46	 2.03	799.81	614.33	 0.49	10665.53	 1.05	6361.59
H9	Foci_processed_06-Jul-2020	801	 1.73	 2.08	685	 1.83	 2.06	855.31	664.58	 0.53	9972.81	 1.06	8184.52
