Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A1	Foci_processed_14-Sep-2020	167	 0.29	 0.86	147	 0.30	 0.89	1365.18	1236.62	 0.31	3973.29	 1.07	730.20
A10	Foci_processed_14-Sep-2020	434	 2.97	 3.87	376	 3.27	 3.90	846.21	668.82	 0.35	3667.79	 1.07	6219.31
A11	Foci_processed_14-Sep-2020	69	 1.70	 2.45	60	 1.68	 2.54	710.36	560.25	 0.35	3986.25	 1.10	2902.23
A12	Foci_processed_14-Sep-2020	371	 2.04	 3.04	297	 1.74	 2.87	992.98	790.19	 0.36	4059.28	 1.10	4033.66
A2	Foci_processed_14-Sep-2020	535	 1.60	 2.85	459	 1.78	 3.00	1012.07	758.98	 0.34	3392.24	 1.08	4088.37
A3	Foci_processed_14-Sep-2020	801	 1.58	 2.62	702	 1.57	 2.51	964.20	717.77	 0.31	4115.89	 1.06	3581.01
A4	Foci_processed_14-Sep-2020	801	 2.33	 3.11	706	 2.40	 3.14	932.08	706.43	 0.32	4229.15	 1.06	5454.93
A5	Foci_processed_14-Sep-2020	687	 2.86	 3.27	604	 2.79	 3.13	733.05	553.56	 0.33	3982.85	 1.06	4694.58
A6	Foci_processed_14-Sep-2020	463	 2.51	 3.11	402	 2.51	 2.87	857.39	667.88	 0.35	3479.58	 1.07	4830.98
A7	Foci_processed_14-Sep-2020	573	 1.92	 2.80	491	 1.78	 2.65	743.82	552.53	 0.31	4172.82	 1.05	3146.85
A8	Foci_processed_14-Sep-2020	583	 3.33	 3.77	510	 3.42	 3.77	859.98	666.86	 0.36	3361.49	 1.09	6889.83
A9	Foci_processed_14-Sep-2020	573	 2.14	 3.53	493	 2.15	 3.48	836.17	668.40	 0.34	3723.64	 1.08	4271.59
B1	Foci_processed_14-Sep-2020	7	 0.43	 1.13	5	 0.00	 0.00	1116.55	1010.24	 0.31	3871.84	 1.05	 0.00
B10	Foci_processed_14-Sep-2020	373	 0.74	 1.94	323	 0.76	 1.87	810.58	633.10	 0.32	4656.00	 1.06	1477.64
B11	Foci_processed_14-Sep-2020	144	 0.85	 1.81	124	 0.87	 1.81	743.11	591.33	 0.34	4375.45	 1.08	1445.49
