Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A1	Foci_processed_21-Oct-2019	10	 0.00	 0.00	9	 0.00	 0.00	1865.21	1308.10	 0.46	10397.09	 1.13	 0.00
A10	Foci_processed_21-Oct-2019	61	 0.08	 0.42	52	 0.04	 0.19	1931.82	1377.07	 0.49	20167.76	 1.04	174.31
A11	Foci_processed_21-Oct-2019	25	 0.24	 0.52	18	 0.11	 0.32	1971.32	1425.42	 0.47	15195.14	 1.07	626.67
A12	Foci_processed_21-Oct-2019	21	 0.62	 1.07	15	 0.60	 1.12	2684.10	1712.54	 0.51	12696.55	 1.07	6194.67
A2	Foci_processed_21-Oct-2019	46	 0.37	 1.20	40	 0.40	 1.28	2034.08	1412.82	 0.49	17219.20	 1.04	2780.30
A3	Foci_processed_21-Oct-2019	73	 0.19	 0.46	62	 0.21	 0.48	2190.15	1461.40	 0.48	18603.20	 1.05	1301.87
A4	Foci_processed_21-Oct-2019	36	 0.53	 1.06	29	 0.38	 0.73	2035.72	1344.66	 0.49	18396.03	 1.07	2672.69
A5	Foci_processed_21-Oct-2019	30	 0.30	 0.75	25	 0.24	 0.60	2035.82	1432.12	 0.48	19344.08	 1.07	1305.28
A6	Foci_processed_21-Oct-2019	60	 0.20	 0.63	45	 0.16	 0.56	1896.59	1285.18	 0.48	21007.88	 1.05	786.84
A7	Foci_processed_21-Oct-2019	52	 0.38	 0.63	41	 0.39	 0.63	2272.88	1509.47	 0.50	19216.73	 1.05	2543.51
A8	Foci_processed_21-Oct-2019	35	 0.69	 1.08	30	 0.53	 0.90	3271.24	2055.69	 0.49	14450.90	 1.05	5959.20
A9	Foci_processed_21-Oct-2019	62	 0.19	 0.83	51	 0.12	 0.38	2011.05	1395.79	 0.49	18534.87	 1.04	687.92
B1	Foci_processed_21-Oct-2019	39	 0.00	 0.00	30	 0.00	 0.00	1732.64	1206.03	 0.47	16734.40	 1.06	 0.00
B10	Foci_processed_21-Oct-2019	22	 0.41	 0.80	17	 0.24	 0.44	2576.51	1742.60	 0.51	14381.19	 1.08	2158.35
B11	Foci_processed_21-Oct-2019	91	 0.29	 0.62	78	 0.29	 0.58	2157.98	1434.02	 0.47	22577.36	 1.04	1729.03
B12	Foci_processed_21-Oct-2019	87	 0.45	 1.02	70	 0.46	 1.10	2472.06	1574.98	 0.51	18816.29	 1.05	3430.74
B2	Foci_processed_21-Oct-2019	13	 0.00	 0.00	11	 0.00	 0.00	1794.73	1260.37	 0.49	14673.34	 1.04	 0.00
B3	Foci_processed_21-Oct-2019	32	 0.00	 0.00	26	 0.00	 0.00	1638.42	1139.77	 0.49	17654.24	 1.05	 0.00
B4	Foci_processed_21-Oct-2019	48	 0.02	 0.14	39	 0.03	 0.16	2172.73	1659.78	 0.43	14648.69	 1.12	174.36
B5	Foci_processed_21-Oct-2019	20	 0.30	 0.73	16	 0.31	 0.79	2381.27	1759.21	 0.46	13756.97	 1.20	1840.75
B6	Foci_processed_21-Oct-2019	46	 0.00	 0.00	36	 0.00	 0.00	2044.01	1342.09	 0.46	14935.59	 1.15	 0.00
B7	Foci_processed_21-Oct-2019	4	 0.00	 0.00	4	 0.00	 0.00	1900.80	1291.04	 0.48	11891.02	 1.14	 0.00
B8	Foci_processed_21-Oct-2019	20	 0.05	 0.22	17	 0.06	 0.24	2457.90	1568.34	 0.48	16659.88	 1.06	474.59
B9	Foci_processed_21-Oct-2019	42	 0.62	 1.08	33	 0.58	 1.09	2108.61	1423.80	 0.49	16933.83	 1.05	3716.00
C1	Foci_processed_21-Oct-2019	11	 0.55	 1.21	10	 0.60	 1.26	1998.47	1335.51	 0.49	13720.59	 1.04	3621.20
C11	Foci_processed_21-Oct-2019	37	 0.35	 1.51	30	 0.40	 1.67	2164.59	1499.43	 0.44	11542.88	 1.23	3030.27
C12	Foci_processed_21-Oct-2019	6	 1.00	 1.26	5	 1.20	 1.30	2255.33	1751.79	 0.38	2573.46	 1.41	4756.00
C2	Foci_processed_21-Oct-2019	104	 0.56	 1.14	89	 0.47	 0.87	2475.76	1539.90	 0.50	18733.81	 1.05	3742.97
C3	Foci_processed_21-Oct-2019	91	 0.09	 0.32	68	 0.10	 0.35	2581.35	1719.60	 0.51	6269.44	 1.11	663.41
C4	Foci_processed_21-Oct-2019	75	 0.21	 0.50	59	 0.24	 0.50	2022.87	1403.23	 0.49	12006.15	 1.05	1626.10
C5	Foci_processed_21-Oct-2019	11	 0.00	 0.00	9	 0.00	 0.00	1633.58	1144.18	 0.52	12161.91	 1.17	 0.00
C6	Foci_processed_21-Oct-2019	58	 0.10	 0.31	50	 0.04	 0.20	1749.01	1187.09	 0.49	22455.71	 1.05	164.24
C7	Foci_processed_21-Oct-2019	23	 0.04	 0.21	20	 0.05	 0.22	1868.48	1286.59	 0.49	17201.99	 1.05	310.00
C8	Foci_processed_21-Oct-2019	78	 0.35	 0.70	63	 0.38	 0.75	2117.55	1376.66	 0.49	19118.23	 1.04	2870.16
C9	Foci_processed_21-Oct-2019	101	 0.47	 0.93	90	 0.48	 0.96	2549.51	1599.87	 0.49	19640.20	 1.04	3951.73
D1	Foci_processed_21-Oct-2019	7	 1.29	 2.63	5	 1.80	 3.03	2236.10	1401.96	 0.48	7079.46	 1.28	8632.00
D10	Foci_processed_21-Oct-2019	27	 0.33	 0.55	23	 0.35	 0.57	2706.63	1770.08	 0.48	15723.05	 1.04	2744.70
D11	Foci_processed_21-Oct-2019	7	 0.14	 0.38	6	 0.17	 0.41	3222.88	2282.15	 0.51	15613.82	 1.04	829.33
D12	Foci_processed_21-Oct-2019	53	 0.23	 0.72	49	 0.16	 0.66	4821.84	4303.77	 0.47	11361.00	 1.19	1056.90
D2	Foci_processed_21-Oct-2019	9	 0.00	 0.00	7	 0.00	 0.00	2238.25	1563.05	 0.48	14691.53	 1.05	 0.00
D3	Foci_processed_21-Oct-2019	20	 0.05	 0.22	17	 0.06	 0.24	1955.13	1421.07	 0.43	5798.17	 1.10	391.76
D4	Foci_processed_21-Oct-2019	25	 0.20	 0.50	20	 0.10	 0.31	5669.58	4830.40	 0.49	9820.77	 1.15	652.00
