Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
G10	Foci_processed_22-Oct-2019	147	 0.66	 1.30	121	 0.74	 1.38	3509.55	2049.94	 0.51	14698.29	 1.04	8118.48
G11	Foci_processed_22-Oct-2019	345	 0.32	 1.07	292	 0.25	 0.60	3694.23	2254.26	 0.50	12326.24	 1.06	2700.86
G12	Foci_processed_22-Oct-2019	791	 0.38	 1.08	694	 0.29	 0.74	2960.50	1932.12	 0.50	16671.35	 1.06	2488.90
G2	Foci_processed_22-Oct-2019	318	 0.53	 1.20	281	 0.49	 0.92	3536.21	2158.08	 0.50	15376.64	 1.05	4805.69
G3	Foci_processed_22-Oct-2019	314	 0.47	 0.90	271	 0.47	 0.89	3056.58	1852.73	 0.50	20516.31	 1.04	3902.79
G4	Foci_processed_22-Oct-2019	304	 0.03	 0.19	279	 0.03	 0.18	2296.37	1480.89	 0.48	18041.46	 1.04	141.56
G5	Foci_processed_22-Oct-2019	238	 0.21	 0.53	204	 0.21	 0.54	3156.88	1840.07	 0.48	23562.23	 1.04	1773.12
G6	Foci_processed_22-Oct-2019	411	 0.35	 0.83	350	 0.31	 0.76	3477.79	2014.31	 0.48	19954.54	 1.04	3159.26
G7	Foci_processed_22-Oct-2019	279	 0.26	 0.66	234	 0.23	 0.58	2993.76	1917.05	 0.51	9809.89	 1.07	2285.15
G8	Foci_processed_22-Oct-2019	519	 0.39	 1.36	466	 0.31	 0.69	3387.37	2099.76	 0.49	13375.97	 1.05	3490.47
G9	Foci_processed_22-Oct-2019	328	 0.31	 0.75	280	 0.30	 0.73	3230.24	2007.03	 0.48	17051.25	 1.05	2572.34
H1	Foci_processed_22-Oct-2019	255	 0.25	 0.61	225	 0.18	 0.50	3046.36	1927.71	 0.49	10767.36	 1.05	1477.19
H10	Foci_processed_22-Oct-2019	202	 0.10	 0.38	170	 0.07	 0.28	3401.45	1964.02	 0.52	13884.51	 1.05	633.25
H11	Foci_processed_22-Oct-2019	152	 0.18	 0.57	135	 0.19	 0.59	3436.10	2059.72	 0.52	13686.79	 1.06	1994.19
H12	Foci_processed_22-Oct-2019	343	 0.26	 0.61	298	 0.27	 0.63	3312.47	2047.60	 0.54	11523.71	 1.07	2561.36
H2	Foci_processed_22-Oct-2019	272	 0.33	 1.56	245	 0.21	 0.51	3577.65	2143.58	 0.50	14643.71	 1.05	1941.19
H3	Foci_processed_22-Oct-2019	234	 0.46	 0.93	207	 0.49	 0.96	3574.47	2069.52	 0.50	15723.07	 1.05	5017.58
H4	Foci_processed_22-Oct-2019	325	 0.12	 0.41	287	 0.09	 0.33	3607.28	2081.32	 0.48	18182.37	 1.04	1105.32
H5	Foci_processed_22-Oct-2019	425	 0.28	 0.72	369	 0.24	 0.62	3724.98	2196.00	 0.49	15783.61	 1.05	2927.53
H6	Foci_processed_22-Oct-2019	330	 0.08	 0.38	283	 0.04	 0.20	3188.40	1904.17	 0.48	14248.03	 1.05	349.98
H7	Foci_processed_22-Oct-2019	332	 0.05	 0.33	290	 0.02	 0.20	3128.47	1880.06	 0.49	17279.31	 1.05	446.33
H8	Foci_processed_22-Oct-2019	249	 0.27	 0.69	217	 0.24	 0.62	2994.22	1759.76	 0.49	13889.02	 1.05	1880.13
H9	Foci_processed_22-Oct-2019	151	 0.21	 0.77	126	 0.16	 0.71	3698.20	2157.11	 0.51	10886.96	 1.06	1096.51
