Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut	SiDom
H	1	1	10	4.58728	0.5	1000	0	69.227	67.747	17.214	17.566	12.935	6.39	0.868221	0.142903	1.12931e-06	1.33108e-06	2.25
H	1	1	10	4.58728	1	1000	0	138.643	135.584	34.237	34.953	23.277	17.665	0.736907	0.309596	2.08481e-06	2.91161e-06	2.25
H	1	1	10	4.58728	2	1000	0	277.485	271.465	68.95	70.482	38.797	56.507	0.48815	0.730813	3.27792e-06	6.98094e-06	2.25
H	1	1	10	4.58728	4	1000	0	555.35	543.424	137.391	140.335	57.193	191.26	0.166296	1.85673	2.80451e-06	1.80838e-05	2.25
H	1	1	50	1.24344	0.5	1000	0	256.013	250.432	18.285	18.614	14.518	5.338	0.866825	0.14412	1.13692e-06	1.33434e-06	2.25
H	1	1	50	1.24344	1	1000	0	512.168	501.173	36.359	36.975	25.848	15.904	0.733538	0.313313	2.10247e-06	2.93218e-06	2.25
H	1	1	50	1.24344	2	1000	0	1024.19	1002.14	72.666	73.961	42.142	53.743	0.483178	0.738564	3.29153e-06	7.03046e-06	2.25
H	1	1	50	1.24344	4	1000	0	2048.29	2004.31	146.718	149.407	61.294	198.023	0.14867	1.94819	2.69434e-06	1.89553e-05	2.25
H	1	1	100	0.727649	0.5	1000	0	437.603	428.201	18.236	18.544	14.749	4.842	0.869235	0.141151	1.11691e-06	1.30404e-06	2.25
H	1	1	100	0.727649	1	1000	0	875.31	856.436	36.46	37.121	26.255	15.447	0.734341	0.3119	2.09747e-06	2.91614e-06	2.25
H	1	1	100	0.727649	2	1000	0	1750.34	1712.71	73.157	74.402	42.677	53.322	0.482743	0.739187	3.29248e-06	7.03298e-06	2.25
H	1	1	100	0.727649	4	1000	0	3500.42	3425.14	146.41	148.977	61.258	196.905	0.150446	1.93979	2.70396e-06	1.88716e-05	2.25
H	1	1	200	0.448328	0.5	1000	0	710.323	695.023	17.94	18.236	14.663	4.558	0.872128	0.137768	1.0933e-06	1.27156e-06	2.25
H	1	1	200	0.448328	1	1000	0	1420.52	1390.01	36.335	36.982	26.167	15.082	0.736163	0.309165	2.08626e-06	2.8889e-06	2.25
H	1	1	200	0.448328	2	1000	0	2840.64	2779.49	72.504	73.806	42.786	51.344	0.488647	0.725356	3.28103e-06	6.89424e-06	2.25
