name	Position	plate	Radiation	Radiation Type	Radiation Time	Cell Type	Antibody	Date of preparation	UserID	Race	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
P210A10	A10	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	893CC	Mouse	Foci_processed_11-Oct-2016_73661417259_foci_analysis_11-Oct-2016	274	2.92	8.63	232	1.95	2.96	987.75	572.5	4.26	1900.21	1.29	5861.85
P210A4	A4	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	235CC	Mouse	Foci_processed_11-Oct-2016_73661407682_foci_analysis_11-Oct-2016	220	2.15	6.32	180	1.83	3.22	995.95	483.58	3.75	1614.88	1.37	6258.83
P210A5	A5	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	233CC	Mouse	Foci_processed_11-Oct-2016_73661409303_foci_analysis_11-Oct-2016	239	4.05	5.16	190	3.93	4.65	1125.59	644.45	4.81	1726.87	1.46	13485.55
P210A6	A6	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	C57BL f1	Mouse	Foci_processed_11-Oct-2016_73661411681_foci_analysis_11-Oct-2016	402	2.24	3.75	334	2.23	3.87	862.15	436.94	3.83	2329.77	1.29	6168.39
P210A7	A7	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	254CC	Mouse	Foci_processed_11-Oct-2016_73661413378_foci_analysis_11-Oct-2016	257	2.1	4.11	205	2.1	3.74	1242.08	610.1	4.66	1882.4	1.4	9185.53
P210A8	A8	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	907CC	Mouse	Foci_processed_11-Oct-2016_73661415517_foci_analysis_11-Oct-2016	395	2.52	3.88	345	2.52	3.79	955.25	532.1	4.31	2752.85	1.35	8485.51
P210A9	A9	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	946CC	Mouse	Foci_processed_11-Oct-2016_73661416420_foci_analysis_11-Oct-2016	167	3.04	5.25	144	2.63	4.23	770.74	389.5	4.25	1916.43	1.48	7432.28
P210B10	B10	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	882CC	Mouse	Foci_processed_11-Oct-2016_73661416946_foci_analysis_11-Oct-2016	234	2.37	3.03	192	2.46	2.91	922.28	538.98	4.48	1714.73	1.23	7073.29
P210B4	B4	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	226CC	Mouse	Foci_processed_11-Oct-2016_73661407485_foci_analysis_11-Oct-2016	225	2.26	3.91	182	2.12	3.63	952.46	500.79	4.07	1945.63	1.44	13403.84
P210B5	B5	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	236CC	Mouse	Foci_processed_11-Oct-2016_73661409159_foci_analysis_11-Oct-2016	175	1.81	3.28	142	1.75	2.99	1205.34	548.15	3.32	1641.82	1.45	6754.89
P210B6	B6	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	915CC	Mouse	Foci_processed_11-Oct-2016_73661411398_foci_analysis_11-Oct-2016	322	1.98	3.07	277	1.84	2.61	1039.73	518.18	3.57	2753.8	1.27	6303.93
P210B7	B7	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	251CC	Mouse	Foci_processed_11-Oct-2016_73661413043_foci_analysis_11-Oct-2016	379	2.67	4.54	322	2.53	4.43	1006.8	566.6	3.98	2657.34	1.37	9103.22
P210B8	B8	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	258CC	Mouse	Foci_processed_11-Oct-2016_73661415022_foci_analysis_11-Oct-2016	527	2.27	4.53	426	2.23	4.52	1143.79	541.03	5.07	1671.11	1.3	8512.58
P210B9	B9	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	934CC	Mouse	Foci_processed_11-Oct-2016_73661416213_foci_analysis_11-Oct-2016	227	3.79	6	189	3.91	6.24	900.06	482.82	4.32	1931.2	1.31	11821.52
P210C10	C10	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	922CC	Mouse	Foci_processed_11-Oct-2016_73661416718_foci_analysis_11-Oct-2016	257	2.84	4.45	224	2.73	4.29	750.65	343.2	4.01	1735.65	1.19	6993.04
P210C4	C4	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	B6C3 m3	Mouse	Foci_processed_11-Oct-2016_73661407279_foci_analysis_11-Oct-2016	234	1.93	2.97	187	1.88	2.84	854.94	425.78	3.7	1795.15	1.39	4902.29
P210C5	C5	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	208CC	Mouse	Foci_processed_11-Oct-2016_73661408987_foci_analysis_11-Oct-2016	185	3.45	5.51	148	3.64	5.72	963.38	512.25	4.53	2095.79	1.41	10813.92
P210C6	C6	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	954CC	Mouse	Foci_processed_11-Oct-2016_73661410895_foci_analysis_11-Oct-2016	568	2.32	3.51	484	2.22	3.17	887.29	415.34	4.03	2320.57	1.23	6836.96
P210C7	C7	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	928CC	Mouse	Foci_processed_11-Oct-2016_73661412843_foci_analysis_11-Oct-2016	228	1.97	3.69	191	1.9	3.54	820.64	399.65	4.51	1702.39	1.39	5368.71
P210C8	C8	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	925CC	Mouse	Foci_processed_11-Oct-2016_73661414818_foci_analysis_11-Oct-2016	227	2.48	4.03	180	2.27	3.47	864.41	481.37	4.37	1965.88	1.42	6926.36
P210C9	C9	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	921CC	Mouse	Foci_processed_11-Oct-2016_73661416020_foci_analysis_11-Oct-2016	220	2.69	3.82	185	2.54	3.19	850.37	388.39	3.79	1989.73	1.23	7283.35
P210D10	D10	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	923CC	Mouse	Foci_processed_11-Oct-2016_73661416578_foci_analysis_11-Oct-2016	160	2.75	4.05	131	2.63	3.88	825.88	382.62	3.83	1909.41	1.24	6894.49
P210D5	D5	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	951CC	Mouse	Foci_processed_11-Oct-2016_73661408646_foci_analysis_11-Oct-2016	374	2.57	3.96	305	2.25	3.02	914.72	462.13	4.4	1900.96	1.32	6884.66
P210D6	D6	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	942CC	Mouse	Foci_processed_11-Oct-2016_73661410669_foci_analysis_11-Oct-2016	249	3	4.89	202	2.96	4.43	1040.09	459.96	3.86	1897.17	1.48	10958.35
P210D7	D7	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	261CC	Mouse	Foci_processed_11-Oct-2016_73661412432_foci_analysis_11-Oct-2016	487	1.81	3.45	400	1.9	3.49	848.84	418.44	3.98	1804.18	1.26	5871.32
P210D8	D8	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	280CC	Mouse	Foci_processed_11-Oct-2016_73661414242_foci_analysis_11-Oct-2016	638	1.37	2.87	516	1.28	2.4	768.4	365.67	4.71	1470.93	1.24	3822.5
P210D9	D9	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	906CC	Mouse	Foci_processed_11-Oct-2016_73661415880_foci_analysis_11-Oct-2016	146	5.63	7.74	126	4.96	6	995.99	475.63	4.53	2088.24	1.42	15251.23
P210E5	E5	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	BALBC m3	Mouse	Foci_processed_11-Oct-2016_73661408449_foci_analysis_11-Oct-2016	229	0.98	1.58	197	0.95	1.58	1022.3	465.5	4.05	1536.3	1.47	4181.74
P210E6	E6	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	927CC	Mouse	Foci_processed_11-Oct-2016_73661410324_foci_analysis_11-Oct-2016	392	1.23	2.44	320	1.21	2.32	842.29	429.67	4.4	1992.65	1.36	4049.28
P210E7	E7	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	919CC	Mouse	Foci_processed_11-Oct-2016_73661412337_foci_analysis_11-Oct-2016	105	1.53	2.51	83	1.57	2.2	894.07	446.75	4.66	1866.64	1.39	4990.67
P210E8	E8	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	255CC	Mouse	Foci_processed_11-Oct-2016_73661414079_foci_analysis_11-Oct-2016	194	2.26	3.99	169	2.11	3.73	1034.89	544.81	3.26	3078.71	1.59	7162.88
P210F5	F5	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	938CC	Mouse	Foci_processed_11-Oct-2016_73661408281_foci_analysis_11-Oct-2016	191	3.43	6.92	158	2.87	4.03	903.19	397.04	3.72	1720.76	1.41	9128.18
P210F6	F6	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	937CC	Mouse	Foci_processed_11-Oct-2016_73661410067_foci_analysis_11-Oct-2016	281	3.83	5.56	231	3.91	5.51	1034.71	465.97	3.99	2295.94	1.47	12691.43
P210F7	F7	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	BALBC f	Mouse	Foci_processed_11-Oct-2016_73661412034_foci_analysis_11-Oct-2016	354	2.89	4.01	300	2.67	3.8	1075.21	486.33	3.44	2737.74	1.26	8975.85
P210F8	F8	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	260CC	Mouse	Foci_processed_11-Oct-2016_73661413806_foci_analysis_11-Oct-2016	314	2.81	4.58	266	2.77	4.1	888.75	404.36	3.88	2420.85	1.28	7930.89
P210G5	G5	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	BALBC f1	Mouse	Foci_processed_11-Oct-2016_73661408169_foci_analysis_11-Oct-2016	133	2.16	7.21	116	1.51	3.21	1051.12	446.6	3.63	1737.76	1.47	4878.31
P210G6	G6	P210	0.11	Si 350 MeV/n	8 hr	Fibro	53BP1	10/3/2016	BALBC m1	Mouse	Foci_processed_11-Oct-2016_73661409677_foci_analysis_11-Oct-2016	456	1.31	3.02	382	1.09	2.23	936.82	402.7	3.99	1776.19	1.32	3714.92
