name	Position	plate	Radiation	Radiation Type	Radiation Time	Cell Type	Antibody	Date of preparation	UserID	Race	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
P240A1	A1	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	247CC	Mouse	Foci_processed_15-Nov-2016_73664903341_foci_analysis_15-Nov-2016	477	 0.58	 0.96	382	 0.57	 0.92	510.01	286.84	 4.38	1277.75	 1.44	1501.77
P240A10	A10	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	934CC	Mouse	Foci_processed_15-Nov-2016_73664954453_foci_analysis_15-Nov-2016	613	 0.72	 2.09	499	 0.66	 1.67	673.13	388.26	 5.11	2286.78	 1.36	2747.90
P240A2	A2	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	253CC	Mouse	Foci_processed_15-Nov-2016_73664907502_foci_analysis_15-Nov-2016	560	 0.47	 2.35	447	 0.31	 0.61	484.07	287.98	 4.69	1537.11	 1.28	1009.92
P240A3	A3	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	235CC	Mouse	Foci_processed_15-Nov-2016_73664911898_foci_analysis_15-Nov-2016	661	 0.58	 1.35	525	 0.49	 1.12	596.46	324.53	 4.62	1848.53	 1.22	1575.65
P240A4	A4	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	C3H f2	Mouse	Foci_processed_15-Nov-2016_73664916435_foci_analysis_15-Nov-2016	660	 0.48	 1.05	552	 0.41	 0.78	522.52	294.60	 5.12	2231.39	 1.18	1009.64
P240A5	A5	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	915CC	Mouse	Foci_processed_15-Nov-2016_73664935932_foci_analysis_15-Nov-2016	710	 0.50	 1.16	598	 0.43	 0.96	531.84	300.39	 4.70	2119.31	 1.18	1308.57
P240A6	A6	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	C57BL f1	Mouse	Foci_processed_15-Nov-2016_73664940013_foci_analysis_15-Nov-2016	713	 0.54	 1.99	628	 0.45	 1.29	505.18	290.90	 4.69	2091.56	 1.27	1664.14
P240A7	A7	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	254CC	Mouse	Foci_processed_15-Nov-2016_73664944841_foci_analysis_15-Nov-2016	512	 0.43	 0.93	409	 0.39	 0.84	573.38	296.28	 5.10	1806.72	 1.31	1141.85
P240A8	A8	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	BALBC f1	Mouse	Foci_processed_15-Nov-2016_73664949441_foci_analysis_15-Nov-2016	555	 0.63	 1.79	444	 0.49	 0.97	587.21	297.73	 4.66	1912.46	 1.30	1173.56
P240A9	A9	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	921CC	Mouse	Foci_processed_15-Nov-2016_73664951813_foci_analysis_15-Nov-2016	772	 0.52	 1.54	665	 0.38	 0.75	561.30	307.00	 4.16	2326.86	 1.19	1040.34
P240B1	B1	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	256CC	Mouse	Foci_processed_15-Nov-2016_73664902874_foci_analysis_15-Nov-2016	557	 0.54	 1.52	450	 0.45	 0.88	654.31	408.51	 4.72	1810.17	 1.33	1336.71
P240B10	B10	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	923CC	Mouse	Foci_processed_15-Nov-2016_73664953806_foci_analysis_15-Nov-2016	747	 0.63	 1.40	598	 0.58	 1.11	541.39	299.96	 4.10	2530.34	 1.16	1451.65
P240B2	B2	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	257CC	Mouse	Foci_processed_15-Nov-2016_73664906965_foci_analysis_15-Nov-2016	648	 0.45	 1.20	547	 0.37	 0.83	507.98	280.82	 4.56	2109.50	 1.21	1069.45
P240B3	B3	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	239CC	Mouse	Foci_processed_15-Nov-2016_73664911453_foci_analysis_15-Nov-2016	491	 0.57	 1.02	398	 0.53	 0.99	535.24	294.64	 5.20	2014.91	 1.26	1563.78
P240B4	B4	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	C3H f1	Mouse	Foci_processed_15-Nov-2016_73664915948_foci_analysis_15-Nov-2016	562	 0.42	 0.86	477	 0.42	 0.83	526.36	283.06	 5.13	2099.66	 1.25	1288.07
P240B5	B5	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	233CC	Mouse	Foci_processed_15-Nov-2016_73664935403_foci_analysis_15-Nov-2016	627	 0.53	 1.45	521	 0.43	 0.79	496.83	296.18	 4.68	1953.50	 1.30	1194.36
P240B6	B6	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	236CC	Mouse	Foci_processed_15-Nov-2016_73664939399_foci_analysis_15-Nov-2016	692	 3.18	 6.78	552	 3.04	 4.31	620.22	317.83	 4.42	1890.58	 1.19	5804.95
P240B7	B7	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	251CC	Mouse	Foci_processed_15-Nov-2016_73664944223_foci_analysis_15-Nov-2016	682	 0.92	 4.88	588	 0.63	 1.62	553.83	314.39	 4.44	2548.12	 1.19	2195.04
P240B8	B8	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	907CC	Mouse	Foci_processed_15-Nov-2016_73664948821_foci_analysis_15-Nov-2016	711	 0.59	 1.23	595	 0.59	 1.25	572.75	327.16	 4.51	3238.81	 1.17	1611.93
P240B9	B9	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	922CC	Mouse	Foci_processed_15-Nov-2016_73664951149_foci_analysis_15-Nov-2016	757	 0.59	 2.88	642	 0.46	 0.87	497.04	289.06	 4.18	2389.76	 1.17	1424.10
P240C1	C1	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	CBA m2	Mouse	Foci_processed_15-Nov-2016_73664902345_foci_analysis_15-Nov-2016	593	 0.78	 7.92	498	 0.45	 1.75	491.97	267.60	 5.60	2221.38	 1.37	2128.08
P240C10	C10	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	894CC	Mouse	Foci_processed_15-Nov-2016_73664953146_foci_analysis_15-Nov-2016	707	 0.85	 1.62	609	 0.70	 1.19	835.06	517.81	 4.91	2337.12	 1.21	2770.57
P240C2	C2	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	220CC	Mouse	Foci_processed_15-Nov-2016_73664906453_foci_analysis_15-Nov-2016	552	 0.77	 3.09	470	 0.58	 1.20	575.84	312.83	 5.54	2288.76	 1.29	1523.56
P240C3	C3	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	B6C3 m1	Mouse	Foci_processed_15-Nov-2016_73664910888_foci_analysis_15-Nov-2016	645	 0.95	 7.52	556	 0.47	 1.92	539.64	314.38	 4.93	2152.03	 1.20	2395.79
P240C4	C4	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	226CC	Mouse	Foci_processed_15-Nov-2016_73664915378_foci_analysis_15-Nov-2016	671	 0.63	 1.94	539	 0.55	 1.51	541.46	302.18	 4.64	1882.99	 1.19	1491.04
P240C5	C5	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	937CC	Mouse	Foci_processed_15-Nov-2016_73664934819_foci_analysis_15-Nov-2016	700	 0.42	 1.78	555	 0.32	 0.77	484.38	276.05	 4.53	2059.54	 1.30	905.31
P240C6	C6	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	BALBC m2	Mouse	Foci_processed_15-Nov-2016_73664939133_foci_analysis_15-Nov-2016	311	 0.58	 1.18	244	 0.47	 1.02	578.62	288.45	 4.76	1784.42	 1.32	1248.08
P240C7	C7	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	BALBC f2	Mouse	Foci_processed_15-Nov-2016_73664943580_foci_analysis_15-Nov-2016	715	 0.45	 1.07	581	 0.45	 1.11	580.10	293.66	 4.95	2008.41	 1.26	1279.24
P240C8	C8	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	BALBC m1	Mouse	Foci_processed_15-Nov-2016_73664948208_foci_analysis_15-Nov-2016	707	 0.43	 1.09	566	 0.37	 0.82	549.00	277.46	 4.76	1899.60	 1.21	980.57
P240C9	C9	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	946CC	Mouse	Foci_processed_15-Nov-2016_73664950529_foci_analysis_15-Nov-2016	637	 0.51	 1.00	535	 0.51	 1.01	504.54	276.83	 5.62	2055.72	 1.28	1379.12
P240D1	D1	P240	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	CBA m3	Mouse	Foci_processed_15-Nov-2016_73664901988_foci_analysis_15-Nov-2016	426	 0.47	 1.06	353	 0.44	 0.93	548.09	321.21	 4.57	2544.28	 1.45	1033.37
