name	Position	plate	Radiation	Radiation Type	Radiation Time	Cell Type	Antibody	Date of preparation	UserID	Race	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
P264A1	A1	P264	0	Fe 600 MeV/n	48 hr	Fibro	53BP1	10/9/2016	247CC	Mouse	Foci_processed_05-Dec-2016_73666991949_foci_analysis_05-Dec-2016	700	 0.74	 1.66	571	 0.61	 0.96	693.26	344.57	 5.58	1976.46	 1.23	1726.26
P264A10	A10	P264	0	Fe 600 MeV/n	48 hr	Fibro	53BP1	10/9/2016	934CC	Mouse	Foci_processed_06-Dec-2016_73667043703_foci_analysis_06-Dec-2016	740	 0.35	 1.74	613	 0.23	 0.56	640.29	362.07	 5.42	2160.84	 1.18	763.97
P264A2	A2	P264	0	Fe 600 MeV/n	48 hr	Fibro	53BP1	10/9/2016	253CC	Mouse	Foci_processed_05-Dec-2016_73666996676_foci_analysis_05-Dec-2016	680	 0.36	 1.62	547	 0.32	 1.17	849.23	486.51	 5.16	2424.71	 1.16	1032.56
P264A3	A3	P264	0	Fe 600 MeV/n	48 hr	Fibro	53BP1	10/9/2016	235CC	Mouse	Foci_processed_06-Dec-2016_73667001205_foci_analysis_06-Dec-2016	690	 0.62	 5.76	602	 0.22	 0.55	815.03	439.75	 4.84	2428.92	 1.10	863.51
P264A4	A4	P264	0	Fe 600 MeV/n	48 hr	Fibro	53BP1	10/9/2016	C3H f2	Mouse	Foci_processed_06-Dec-2016_73667006120_foci_analysis_06-Dec-2016	731	 0.64	 6.87	613	 0.20	 0.59	703.46	402.98	 5.61	2680.78	 1.10	867.41
P264A5	A5	P264	0	Fe 600 MeV/n	48 hr	Fibro	53BP1	10/9/2016	915CC	Mouse	Foci_processed_06-Dec-2016_73667010797_foci_analysis_06-Dec-2016	746	 0.18	 0.56	648	 0.15	 0.48	806.45	484.86	 5.03	2856.48	 1.11	527.26
P264A6	A6	P264	0	Fe 600 MeV/n	48 hr	Fibro	53BP1	10/9/2016	C57BL f1	Mouse	Foci_processed_06-Dec-2016_73667015348_foci_analysis_06-Dec-2016	743	 0.27	 3.12	636	 0.14	 0.44	601.95	320.51	 4.85	1818.08	 1.19	387.70
P264A7	A7	P264	0	Fe 600 MeV/n	48 hr	Fibro	53BP1	10/9/2016	254CC	Mouse	Foci_processed_06-Dec-2016_73667020245_foci_analysis_06-Dec-2016	551	 0.32	 0.92	450	 0.26	 0.68	532.88	265.65	 5.36	1006.27	 1.26	567.95
P264A8	A8	P264	0	Fe 600 MeV/n	48 hr	Fibro	53BP1	10/9/2016	BALBC f1	Mouse	Foci_processed_06-Dec-2016_73667038853_foci_analysis_06-Dec-2016	493	 0.41	 0.98	408	 0.34	 0.81	851.58	427.24	 5.29	2043.68	 1.19	1047.59
P264A9	A9	P264	0	Fe 600 MeV/n	48 hr	Fibro	53BP1	10/9/2016	921CC	Mouse	Foci_processed_06-Dec-2016_73667041167_foci_analysis_06-Dec-2016	754	 0.59	 6.00	664	 0.20	 0.52	670.10	430.50	 4.46	2432.46	 1.11	570.34
