name	Position	plate	Radiation	Radiation Type	Radiation Time	Cell Type	Antibody	Date of preparation	UserID	Race	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
P243E4	E4	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	C57BL m3	Mouse	Foci_processed_18-Nov-2016_73665215737_foci_analysis_18-Nov-2016	707	 2.60	 4.44	587	 2.19	 2.95	695.37	417.72	 4.63	2626.12	 1.18	7239.73
P243E5	E5	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	942CC	Mouse	Foci_processed_18-Nov-2016_73665220844_foci_analysis_18-Nov-2016	685	 1.59	 2.67	546	 1.44	 2.14	584.40	326.75	 4.85	2111.55	 1.24	4237.44
P243E6	E6	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	938CC	Mouse	Foci_processed_18-Nov-2016_73665225838_foci_analysis_18-Nov-2016	703	 2.13	 5.51	575	 1.83	 2.53	548.99	316.01	 4.36	2416.14	 1.23	4602.84
P243E7	E7	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	260CC	Mouse	Foci_processed_18-Nov-2016_73665230681_foci_analysis_18-Nov-2016	669	 1.78	 2.49	549	 1.71	 2.34	538.83	310.44	 4.36	2837.93	 1.18	4172.16
P243E8	E8	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	213CC	Mouse	Foci_processed_18-Nov-2016_73665235344_foci_analysis_18-Nov-2016	769	 2.26	 4.85	644	 1.96	 2.75	616.00	343.55	 5.00	2304.01	 1.15	6483.92
P243F1	F1	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	CBA f2	Mouse	Foci_processed_18-Nov-2016_73665201362_foci_analysis_18-Nov-2016	673	 2.39	 4.64	569	 1.93	 2.71	602.45	310.97	 4.93	2782.82	 1.19	5414.59
P243F2	F2	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	CBA f3	Mouse	Foci_processed_18-Nov-2016_73665205454_foci_analysis_18-Nov-2016	610	 2.15	 3.07	505	 1.98	 2.80	682.26	361.55	 5.46	2739.94	 1.30	6153.47
P243F3	F3	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	B6C3 f3	Mouse	Foci_processed_18-Nov-2016_73665210263_foci_analysis_18-Nov-2016	634	 1.82	 3.41	516	 1.49	 2.19	574.65	339.87	 4.23	2995.80	 1.23	3644.40
P243F4	F4	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	B6C3 f1	Mouse	Foci_processed_18-Nov-2016_73665215079_foci_analysis_18-Nov-2016	722	 2.24	 4.80	628	 1.87	 2.64	586.88	316.12	 4.85	2562.47	 1.14	5245.03
P243F5	F5	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	951CC	Mouse	Foci_processed_18-Nov-2016_73665220188_foci_analysis_18-Nov-2016	718	 1.84	 4.17	617	 1.65	 2.53	555.50	304.37	 4.71	2296.58	 1.18	4972.15
P243F6	F6	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	954CC	Mouse	Foci_processed_18-Nov-2016_73665225152_foci_analysis_18-Nov-2016	744	 1.62	 2.87	594	 1.49	 2.32	544.39	303.30	 4.27	2255.25	 1.16	4419.31
P243F7	F7	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	BALBC f	Mouse	Foci_processed_18-Nov-2016_73665230058_foci_analysis_18-Nov-2016	710	 2.06	 4.54	598	 1.84	 2.98	506.66	302.21	 4.57	2055.69	 1.19	5078.78
P243F8	F8	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	255CC	Mouse	Foci_processed_18-Nov-2016_73665234755_foci_analysis_18-Nov-2016	636	 1.95	 3.59	524	 1.64	 2.53	603.52	336.48	 5.14	2092.80	 1.22	4596.50
P243G1	G1	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	C3H m3	Mouse	Foci_processed_18-Nov-2016_73665200606_foci_analysis_18-Nov-2016	659	 2.20	 2.96	546	 1.97	 2.61	595.74	323.23	 5.07	2952.83	 1.20	5256.62
P243G2	G2	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	C3H m1	Mouse	Foci_processed_18-Nov-2016_73665204830_foci_analysis_18-Nov-2016	671	 2.35	 3.19	547	 2.12	 2.80	635.61	331.49	 5.58	2585.39	 1.19	6082.78
P243G3	G3	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	C57BL m1	Mouse	Foci_processed_18-Nov-2016_73665209659_foci_analysis_18-Nov-2016	688	 1.68	 2.50	573	 1.63	 2.46	560.23	314.21	 4.50	2507.75	 1.17	4224.45
P243G4	G4	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	C57BL f3	Mouse	Foci_processed_18-Nov-2016_73665214473_foci_analysis_18-Nov-2016	706	 1.67	 2.63	587	 1.51	 2.34	565.66	319.61	 4.25	2491.46	 1.19	3998.74
