Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
He	4	2	1.23	90.0349	0.5	1000	0	9.977	7.805	15.698	17.935	4.111	60.957	0.709428	0.423512	1.99615e-06	4.25123e-06	
He	4	2	1.23	90.0349	1	1000	0	19.927	15.585	30.778	35	8.023	119.903	0.506808	0.831305	2.85083e-06	8.3465e-06	
He	4	2	1.23	90.0349	2	1000	0	39.986	31.17	61.793	70.194	15.498	253.866	0.248514	1.73553	2.83089e-06	1.7451e-05	
He	4	2	1.23	90.0349	4	1000	0	80.005	62.755	125.317	142.486	29.213	578.829	0.053298	3.84684	1.23762e-06	3.8798e-05	
He	4	2	1.78	69.9099	0.5	1000	0	12.832	10.041	15.748	17.444	4.992	44.809	0.745551	0.338074	1.89585e-06	3.36552e-06	
He	4	2	1.78	69.9099	1	1000	0	25.705	20.027	31.469	34.557	9.709	91.504	0.555026	0.683688	2.82225e-06	6.81256e-06	
He	4	2	1.78	69.9099	2	1000	0	51.492	40.224	64.368	70.937	18.802	203.794	0.283011	1.48483	3.0594e-06	1.48325e-05	
He	4	2	1.78	69.9099	4	1000	0	103.136	80.935	129.227	142.449	34.748	465.178	0.0683941	3.26699	1.53709e-06	3.27573e-05	
He	4	2	2.81	49.9883	0.5	1000	0	18.015	14.108	15.897	17.056	6.416	30.002	0.787402	0.260122	1.6979e-06	2.55687e-06	
He	4	2	2.81	49.9883	1	1000	0	35.98	28.052	32.101	34.403	12.245	65.244	0.605502	0.548795	2.7358e-06	5.40859e-06	
He	4	2	2.81	49.9883	2	1000	0	72.091	56.539	65.291	69.979	23.464	144.738	0.345687	1.17763	3.28022e-06	1.16405e-05	
He	4	2	2.81	49.9883	4	1000	0	144.351	113.307	131.387	140.799	42.292	345.691	0.0960068	2.64724	1.98986e-06	2.63154e-05	
He	4	2	5.91	28.0076	0.5	1000	0	32.185	25.055	16.293	16.974	8.783	16.603	0.831762	0.191272	1.418e-06	1.84031e-06	
He	4	2	5.91	28.0076	1	1000	0	64.306	50.376	33.478	34.891	17.097	38.068	0.673134	0.413262	2.46155e-06	3.99219e-06	
He	4	2	5.91	28.0076	2	1000	0	128.776	101.144	66.724	69.668	31.479	87.852	0.430784	0.88556	3.34574e-06	8.60045e-06	
He	4	2	5.91	28.0076	4	1000	0	257.81	202.354	135.69	141.687	54.533	238.579	0.139383	2.10655	2.51902e-06	2.06744e-05	
He	4	2	8.99	19.9996	0.5	1000	0	45.142	35.258	16.897	17.519	10.286	12.81	0.842723	0.17535	1.33852e-06	1.66954e-06	
He	4	2	8.99	19.9996	1	1000	0	90.124	70.722	33.717	34.897	19.339	29.503	0.698593	0.369618	2.32463e-06	3.53744e-06	
He	4	2	8.99	19.9996	2	1000	0	180.504	141.75	68.289	70.699	35.723	72.022	0.458034	0.811302	3.31364e-06	7.81755e-06	
He	4	2	8.99	19.9996	4	1000	0	360.829	283.434	135.728	140.334	59.754	196.578	0.165804	1.88385	2.76583e-06	1.83663e-05	
