Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut	SiDom
H	1	1	10	4.58728	0.5	1000	0	196.69	154.456	17.122	17.464	14.659	3.507	0.881112	0.12756	1.01646e-06	1.17214e-06	0.8
H	1	1	10	4.58728	1	1000	0	393.261	308.74	34.94	35.71	29.331	8.158	0.768186	0.265865	1.85056e-06	2.4492e-06	0.8
H	1	1	10	4.58728	2	1000	0	786.609	617.459	69.065	70.603	56.418	18.499	0.586859	0.537732	2.86298e-06	4.96828e-06	0.8
H	1	1	10	4.58728	4	1000	0	1573.26	1234.79	138.248	141.129	106.999	46.617	0.328566	1.12404	3.36252e-06	1.04433e-05	0.8
H	1	1	50	1.24344	0.5	1000	0	725.475	569.437	18.298	18.627	16.492	2.604	0.878557	0.130258	1.03248e-06	1.18981e-06	0.8
H	1	1	50	1.24344	1	1000	0	1451.14	1139.01	36.514	37.169	32.426	5.826	0.769887	0.263134	1.83028e-06	2.40765e-06	0.8
H	1	1	50	1.24344	2	1000	0	2901.7	2278.18	72.983	74.32	62.656	14.681	0.583929	0.541603	2.86539e-06	4.97523e-06	0.8
H	1	1	50	1.24344	4	1000	0	5803.68	4557.3	145.915	148.631	118.116	40.158	0.323417	1.13821	3.34589e-06	1.05236e-05	0.8
H	1	1	100	0.727649	0.5	1000	0	1239.91	973.08	18.422	18.735	16.785	2.327	0.879132	0.129523	1.02694e-06	1.18119e-06	0.8
H	1	1	100	0.727649	1	1000	0	2479.24	1946.81	36.49	37.113	32.762	5.309	0.772137	0.260146	1.81302e-06	2.37702e-06	0.8
H	1	1	100	0.727649	2	1000	0	4958.56	3893.38	72.983	74.231	63.279	13.625	0.587469	0.535658	2.84582e-06	4.9141e-06	0.8
H	1	1	100	0.727649	4	1000	0	9917.42	7786.42	146.258	148.81	119.3	38.655	0.325419	1.13167	3.34627e-06	1.04538e-05	0.8
H	1	1	200	0.448328	0.5	1000	0	2012.03	1579.58	18.335	18.645	16.699	2.369	0.879489	0.129173	1.02394e-06	1.17834e-06	0.8
H	1	1	200	0.448328	1	1000	0	4024.09	3159.42	36.416	37.039	32.878	5.036	0.773566	0.258289	1.80214e-06	2.35834e-06	0.8
H	1	1	200	0.448328	2	1000	0	8048.22	6319.21	73.262	74.491	63.916	13.167	0.587707	0.534955	2.84457e-06	4.90444e-06	0.8
H	1	1	200	0.448328	4	1000	0	16095.9	12636.3	146.165	148.73	119.373	38.314	0.325825	1.12943	3.34915e-06	1.04312e-05	0.8
H	1	1	400	0.302604	0.5	1000	0	2980.83	2340.14	18.024	18.31	16.501	2.214	0.882051	0.126278	1.00277e-06	1.15119e-06	0.8
H	1	1	400	0.302604	1	1000	0	5962.1	4681.73	36.278	36.944	32.747	5.123	0.773686	0.258136	1.80174e-06	2.3576e-06	0.8
H	1	1	400	0.302604	2	1000	0	11923.8	9360.57	72.12	73.372	63.067	12.727	0.593109	0.525684	2.82082e-06	4.8179e-06	0.8
H	1	1	400	0.302604	4	1000	0	23847	18721.3	144.238	146.735	118.56	36.519	0.333133	1.10774	3.35176e-06	1.02232e-05	0.8
H	1	1	800	0.232827	0.5	1000	0	3874.51	3041.82	17.893	18.209	16.467	2.093	0.883082	0.125027	9.94613e-07	1.13906e-06	0.8
H	1	1	800	0.232827	1	1000	0	7748.6	6083.78	35.582	36.159	32.142	4.93	0.778293	0.252222	1.76972e-06	2.30304e-06	0.8
H	1	1	800	0.232827	2	1000	0	15496.6	12166	71.218	72.426	62.335	12.551	0.597291	0.518845	2.80111e-06	4.75515e-06	0.8
H	1	1	800	0.232827	4	1000	0	30993.9	24329.5	142.965	145.344	117.647	35.76	0.337479	1.09514	3.35343e-06	1.01044e-05	0.8
H	1	1	1000	0.220775	0.5	1000	0	4086.12	3208.1	17.47	17.757	16.119	2.002	0.886064	0.121724	9.69941e-07	1.10871e-06	0.8
H	1	1	1000	0.220775	1	1000	0	8171.53	6416.04	34.974	35.549	31.704	4.658	0.782281	0.247004	1.74211e-06	2.25415e-06	0.8
H	1	1	1000	0.220775	2	1000	0	16342.9	12830.3	70.028	71.188	61.576	11.87	0.603943	0.507598	2.77023e-06	4.64908e-06	0.8
H	1	1	1000	0.220775	4	1000	0	32685.7	25657.4	140.476	142.806	116.124	34.303	0.345333	1.07177	3.35765e-06	9.88368e-06	0.8
H	1	1	1600	0.206857	0.5	1000	0	4360.91	3424	16.633	16.922	15.324	1.947	0.890921	0.1162	9.31611e-07	1.05866e-06	0.8
H	1	1	1600	0.206857	1	1000	0	8721.36	6847.54	32.948	33.48	29.92	4.328	0.793842	0.232327	1.66132e-06	2.11983e-06	0.8
H	1	1	1600	0.206857	2	1000	0	17442.4	13693.4	66.606	67.737	58.78	11.119	0.619446	0.482095	2.69773e-06	4.41438e-06	0.8
H	1	1	1600	0.206857	4	1000	0	34885.2	27384.2	133.285	135.554	110.865	31.666	0.365955	1.01278	3.36395e-06	9.33421e-06	0.8
He	4	2	10	18.3487	0.5	1000	0	49.028	38.242	16.806	17.368	11.854	8.481	0.861147	0.152324	1.18578e-06	1.431e-06	0.8
He	4	2	10	18.3487	1	1000	0	98.167	76.84	33.905	35.027	23.713	17.535	0.73793	0.309398	2.06954e-06	2.90888e-06	0.8
He	4	2	10	18.3487	2	1000	0	196.694	154.46	68.399	70.597	46.867	37.761	0.535631	0.63593	3.09056e-06	5.99139e-06	0.8
He	4	2	10	18.3487	4	1000	0	393.223	308.723	136.451	141.025	89.405	85.931	0.273654	1.32389	3.28082e-06	1.25263e-05	0.8
He	4	2	50	4.97376	0.5	1000	0	181.429	142.451	18.173	18.547	15.617	3.69	0.874342	0.135294	1.07024e-06	1.243e-06	0.8
He	4	2	50	4.97376	1	1000	0	362.623	284.749	36.201	36.918	30.673	7.833	0.763629	0.271793	1.87881e-06	2.50012e-06	0.8
He	4	2	50	4.97376	2	1000	0	725.475	569.437	72.425	73.884	59.39	18.975	0.573581	0.560764	2.91725e-06	5.17878e-06	0.8
He	4	2	50	4.97376	4	1000	0	1451.14	1139.01	145.034	148.035	112.503	48.801	0.311448	1.17854	3.339e-06	1.09492e-05	0.8
