Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
B	0	4202480	4.83	3.41668e+07	0.5	1000	0	4.518	3.56	14.851	18.084	4.365	75.295	0.716394	0.497572	1.65273e-06	5.02146e-06	
B	0	4202480	4.83	3.41668e+07	1	1000	0	8.935	6.998	28.804	34.887	8.419	150.315	0.512922	0.985697	2.388e-06	9.956e-06	
B	0	4202480	4.83	3.41668e+07	2	1000	0	17.974	14.078	57.604	69.713	17.073	292.648	0.273671	1.9303	2.46998e-06	1.94845e-05	
B	0	4202480	4.83	3.41668e+07	4	1000	0	35.929	28.005	115.807	140.056	33.757	595.998	0.0705386	3.91914	1.3281e-06	3.95731e-05	
B	0	4202480	6.5	3.61989e+07	0.5	1000	0	5.627	4.414	14.809	17.207	5.16	53.605	0.752198	0.381445	1.63783e-06	3.8195e-06	
B	0	4202480	6.5	3.61989e+07	1	1000	0	11.198	8.766	29.994	34.855	10.298	109.452	0.553973	0.777095	2.51331e-06	7.78302e-06	
B	0	4202480	6.5	3.61989e+07	2	1000	0	22.493	17.541	59.018	68.509	20.257	218.667	0.306862	1.54544	2.80278e-06	1.54856e-05	
B	0	4202480	6.5	3.61989e+07	4	1000	0	45.1	35.235	120.398	139.829	40.969	450.346	0.0879445	3.17489	1.67339e-06	3.18213e-05	
B	0	4202480	10.48	3.94528e+07	0.5	1000	0	8.118	6.354	15.581	17.312	6.605	36.81	0.777554	0.29645	1.65741e-06	2.93305e-06	
B	0	4202480	10.48	3.94528e+07	1	1000	0	16.312	12.788	31.21	34.559	13.442	70.809	0.609215	0.578156	2.56084e-06	5.71308e-06	
B	0	4202480	10.48	3.94528e+07	2	1000	0	32.724	25.476	62.353	69.178	26.607	142.737	0.367615	1.1624	3.13645e-06	1.1489e-05	
B	0	4202480	10.48	3.94528e+07	4	1000	0	65.538	51.347	125.489	138.969	52.767	290.557	0.132149	2.35457	2.282e-06	2.32827e-05	
