Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
He	4	2	1.23	90.0349	0.5	1000	0	9.977	7.805	15.698	17.935	5.916	38.402	0.763427	0.308482	1.7841e-06	3.05281e-06	
He	4	2	1.23	90.0349	1	1000	0	19.927	15.585	30.778	35	11.671	74.289	0.590518	0.598674	2.70749e-06	5.92288e-06	
He	4	2	1.23	90.0349	2	1000	0	39.986	31.17	61.793	70.194	23.551	147.5	0.350254	1.19307	3.19354e-06	1.17994e-05	
He	4	2	1.23	90.0349	4	1000	0	80.005	62.755	125.317	142.486	47.292	306.872	0.119806	2.45986	2.17799e-06	2.43481e-05	
He	4	2	1.78	69.9099	0.5	1000	0	12.832	10.041	15.748	17.444	7.053	27.171	0.796734	0.24812	1.61937e-06	2.42835e-06	
He	4	2	1.78	69.9099	1	1000	0	25.705	20.027	31.469	34.557	13.989	53.856	0.637234	0.491684	2.57237e-06	4.8122e-06	
He	4	2	1.78	69.9099	2	1000	0	51.492	40.224	64.368	70.937	28.512	112.428	0.393708	1.01887	3.28741e-06	9.97788e-06	
He	4	2	1.78	69.9099	4	1000	0	103.136	80.935	129.227	142.449	57.081	228.762	0.154291	2.06127	2.56336e-06	2.01958e-05	
He	4	2	2.81	49.9883	0.5	1000	0	18.015	14.108	15.897	17.056	8.715	17.814	0.829	0.197963	1.41787e-06	1.90929e-06	
He	4	2	2.81	49.9883	1	1000	0	35.98	28.052	32.101	34.403	17.309	36.328	0.683114	0.401324	2.38119e-06	3.87219e-06	
He	4	2	2.81	49.9883	2	1000	0	72.091	56.539	65.291	69.979	34.926	74.991	0.459339	0.821922	3.26222e-06	7.93466e-06	
He	4	2	2.81	49.9883	4	1000	0	144.351	113.307	131.387	140.799	70.175	151.597	0.208025	1.65736	2.98468e-06	1.60026e-05	
He	4	2	5.91	28.0076	0.5	1000	0	32.185	25.055	16.293	16.974	11.148	9.374	0.860085	0.154404	1.19228e-06	1.45621e-06	
He	4	2	5.91	28.0076	1	1000	0	64.306	50.376	33.478	34.891	22.78	19.637	0.732506	0.319264	2.09595e-06	3.01289e-06	
He	4	2	5.91	28.0076	2	1000	0	128.776	101.144	66.724	69.668	45.107	39.671	0.536075	0.639837	3.07123e-06	6.04044e-06	
He	4	2	5.91	28.0076	4	1000	0	257.81	202.354	135.69	141.687	90.974	84.152	0.277041	1.31897	3.26813e-06	1.24692e-05	
He	4	2	8.99	19.9996	0.5	1000	0	45.142	35.258	16.897	17.519	12.542	7.303	0.865153	0.147265	1.15171e-06	1.37694e-06	
He	4	2	8.99	19.9996	1	1000	0	90.124	70.722	33.717	34.897	24.947	14.686	0.749133	0.294052	1.98638e-06	2.75017e-06	
He	4	2	8.99	19.9996	2	1000	0	180.504	141.75	68.289	70.699	50.549	29.626	0.557628	0.595082	2.98722e-06	5.56491e-06	
He	4	2	8.99	19.9996	4	1000	0	360.829	283.434	135.728	140.334	99.617	60.61	0.310827	1.19041	3.33381e-06	1.11419e-05	
