Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
He	4	2	1.23	90.0349	0.5	1000	0	9.977	7.805	15.698	17.935	4.696	51.598	0.729948	0.375782	1.92672e-06	3.75395e-06	
He	4	2	1.23	90.0349	1	1000	0	19.927	15.585	30.778	35	9.249	100.948	0.539149	0.734635	2.81533e-06	7.33936e-06	
He	4	2	1.23	90.0349	2	1000	0	39.986	31.17	61.793	70.194	18.44	203.549	0.28855	1.47892	3.01872e-06	1.47775e-05	
He	4	2	1.23	90.0349	4	1000	0	80.005	62.755	125.317	142.486	36.409	434.077	0.0791028	3.1086	1.65923e-06	3.11069e-05	
He	4	2	1.78	69.9099	0.5	1000	0	12.832	10.041	15.748	17.444	5.697	37.609	0.765217	0.301354	1.79833e-06	2.98296e-06	
He	4	2	1.78	69.9099	1	1000	0	25.705	20.027	31.469	34.557	11.197	75.131	0.587721	0.600186	2.74596e-06	5.94261e-06	
He	4	2	1.78	69.9099	2	1000	0	51.492	40.224	64.368	70.937	22.525	158.12	0.331348	1.2519	3.20968e-06	1.24056e-05	
He	4	2	1.78	69.9099	4	1000	0	103.136	80.935	129.227	142.449	44.097	335.914	0.103861	2.60774	2.03925e-06	2.58891e-05	
He	4	2	2.81	49.9883	0.5	1000	0	18.015	14.108	15.897	17.056	7.19	25	0.804438	0.234612	1.58636e-06	2.2911e-06	
He	4	2	2.81	49.9883	1	1000	0	35.98	28.052	32.101	34.403	14.176	51.623	0.640292	0.479328	2.59276e-06	4.68486e-06	
He	4	2	2.81	49.9883	2	1000	0	72.091	56.539	65.291	69.979	28.233	108.437	0.398851	0.992497	3.32217e-06	9.71175e-06	
He	4	2	2.81	49.9883	4	1000	0	144.351	113.307	131.387	140.799	54.849	233.192	0.147788	2.0735	2.55512e-06	2.0338e-05	
He	4	2	5.91	28.0076	0.5	1000	0	32.185	25.055	16.293	16.974	9.763	13.314	0.844805	0.174498	1.3137e-06	1.66556e-06	
He	4	2	5.91	28.0076	1	1000	0	64.306	50.376	33.478	34.891	19.694	28.148	0.703944	0.36267	2.2825e-06	3.46511e-06	
He	4	2	5.91	28.0076	2	1000	0	128.776	101.144	66.724	69.668	38.143	60.207	0.487902	0.744571	3.22835e-06	7.13158e-06	
He	4	2	5.91	28.0076	4	1000	0	257.81	202.354	135.69	141.687	73.135	141.081	0.213145	1.60931	3.04297e-06	1.5494e-05	
He	4	2	8.99	19.9996	0.5	1000	0	45.142	35.258	16.897	17.519	11.278	10.228	0.853116	0.162182	1.25311e-06	1.53235e-06	
He	4	2	8.99	19.9996	1	1000	0	90.124	70.722	33.717	34.897	22.099	21.342	0.725724	0.327997	2.14965e-06	3.10382e-06	
He	4	2	8.99	19.9996	2	1000	0	180.504	141.75	68.289	70.699	43.522	45.89	0.516375	0.678029	3.15108e-06	6.42907e-06	
He	4	2	8.99	19.9996	4	1000	0	360.829	283.434	135.728	140.334	81.377	106.793	0.249887	1.42594	3.20837e-06	1.35958e-05	
