name	Position	plate	Radiation	Radiation Type	Radiation Time	Cell Type	Antibody	Date of preparation	UserID	Race	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
P231E6	E6	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	938CC	Mouse	Foci_processed_05-Nov-2016_73663983602_foci_analysis_05-Nov-2016	557	 1.58	 2.98	468	 1.45	 2.47	868.26	403.79	 4.45	4805.37	 1.13	5372.14
P231E7	E7	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	260CC	Mouse	Foci_processed_05-Nov-2016_73663987330_foci_analysis_05-Nov-2016	532	 1.79	 3.29	457	 1.67	 2.83	762.54	374.01	 4.34	4966.64	 1.13	5116.18
P231E8	E8	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	213CC	Mouse	Foci_processed_05-Nov-2016_73663990749_foci_analysis_05-Nov-2016	655	 1.30	 2.15	552	 1.10	 1.77	876.68	402.31	 4.29	4602.01	 1.10	4568.11
P231F1	F1	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	CBA f2	Mouse	Foci_processed_05-Nov-2016_73663901041_foci_analysis_05-Nov-2016	503	 1.03	 2.11	418	 0.86	 1.46	899.36	406.52	 5.50	3815.58	 1.13	4190.82
P231F2	F2	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	CBA f3	Mouse	Foci_processed_05-Nov-2016_73663905512_foci_analysis_05-Nov-2016	678	 1.06	 1.78	572	 0.94	 1.57	813.52	383.42	 5.48	3938.04	 1.18	3776.66
P231F3	F3	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	B6C3 f3	Mouse	Foci_processed_05-Nov-2016_73663969839_foci_analysis_05-Nov-2016	472	 1.24	 2.01	381	 1.19	 1.70	949.67	435.52	 4.06	4821.81	 1.13	4381.51
P231F4	F4	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	B6C3 f1	Mouse	Foci_processed_05-Nov-2016_73663974264_foci_analysis_05-Nov-2016	583	 1.26	 1.93	469	 1.22	 1.72	938.30	416.68	 4.07	5005.72	 1.21	4728.75
P231F5	F5	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	951CC	Mouse	Foci_processed_05-Nov-2016_73663978605_foci_analysis_05-Nov-2016	698	 0.97	 1.62	582	 0.89	 1.43	754.77	369.32	 4.49	4465.66	 1.12	3221.77
P231F6	F6	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	954CC	Mouse	Foci_processed_05-Nov-2016_73663982970_foci_analysis_05-Nov-2016	757	 0.74	 1.33	624	 0.72	 1.32	703.55	367.44	 4.00	4128.31	 1.12	2842.40
P231F7	F7	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	BALBC f	Mouse	Foci_processed_05-Nov-2016_73663986760_foci_analysis_05-Nov-2016	640	 1.35	 2.32	535	 1.32	 2.23	757.78	363.93	 4.15	4635.73	 1.12	4238.56
P231F8	F8	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	255CC	Mouse	Foci_processed_05-Nov-2016_73663990300_foci_analysis_05-Nov-2016	496	 1.69	 2.93	411	 1.63	 2.91	846.39	419.46	 4.27	4524.04	 1.13	5281.92
P231G1	G1	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	C3H m3	Mouse	Foci_processed_05-Nov-2016_73663900505_foci_analysis_05-Nov-2016	544	 1.36	 2.32	456	 1.16	 1.96	886.15	439.55	 4.52	4762.88	 1.13	4380.65
P231G2	G2	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	C3H m1	Mouse	Foci_processed_05-Nov-2016_73663905015_foci_analysis_05-Nov-2016	484	 1.64	 3.12	411	 1.36	 1.93	871.08	410.38	 5.60	3893.30	 1.16	6372.17
P231G3	G3	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	C57BL m1	Mouse	Foci_processed_05-Nov-2016_73663969214_foci_analysis_05-Nov-2016	687	 1.13	 2.00	558	 1.13	 1.96	748.29	370.00	 4.72	4189.08	 1.17	3543.08
P231G4	G4	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	C57BL f3	Mouse	Foci_processed_05-Nov-2016_73663973721_foci_analysis_05-Nov-2016	648	 1.22	 5.51	530	 0.94	 2.09	763.87	394.73	 3.96	4458.55	 1.14	3642.62
P231G5	G5	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	261CC	Mouse	Foci_processed_05-Nov-2016_73663978179_foci_analysis_05-Nov-2016	520	 1.10	 1.98	422	 0.94	 1.68	732.32	404.28	 3.81	4677.85	 1.19	2982.39
P231G6	G6	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	208CC	Mouse	Foci_processed_05-Nov-2016_73663982478_foci_analysis_05-Nov-2016	539	 1.34	 2.26	443	 1.22	 1.83	790.03	402.86	 5.05	4609.47	 1.14	5024.30
P231G7	G7	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	928CC	Mouse	Foci_processed_05-Nov-2016_73663986326_foci_analysis_05-Nov-2016	489	 1.10	 1.85	388	 1.09	 1.86	842.68	396.77	 4.53	4452.00	 1.17	3882.57
P231G8	G8	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	906CC	Mouse	Foci_processed_05-Nov-2016_73663989867_foci_analysis_05-Nov-2016	441	 2.46	 4.17	366	 2.22	 3.72	744.01	354.11	 5.08	4322.90	 1.16	6832.42
P231H1	H1	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	C3H m2	Mouse	Foci_processed_04-Nov-2016_73663899966_foci_analysis_04-Nov-2016	528	 1.58	 2.33	441	 1.49	 2.11	819.11	372.34	 4.82	3547.00	 1.15	5070.26
P231H2	H2	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	C3H f3	Mouse	Foci_processed_05-Nov-2016_73663904304_foci_analysis_05-Nov-2016	752	 1.69	 4.13	632	 1.29	 2.14	830.35	431.29	 4.45	4732.77	 1.18	5077.72
P231H3	H3	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	C57BL m2	Mouse	Foci_processed_05-Nov-2016_73663968575_foci_analysis_05-Nov-2016	759	 1.16	 2.13	601	 1.02	 1.89	710.94	373.27	 4.13	4216.96	 1.14	3253.66
P231H4	H4	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	C57BL f2	Mouse	Foci_processed_05-Nov-2016_73663973068_foci_analysis_05-Nov-2016	798	 0.78	 1.76	628	 0.69	 1.36	682.15	387.95	 3.44	5150.24	 1.17	2269.01
P231H5	H5	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	258CC	Mouse	Foci_processed_05-Nov-2016_73663977551_foci_analysis_05-Nov-2016	724	 0.87	 1.77	591	 0.87	 1.75	787.49	384.52	 4.75	3565.74	 1.17	2978.38
P231H6	H6	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	280CC	Mouse	Foci_processed_05-Nov-2016_73663981872_foci_analysis_05-Nov-2016	697	 0.84	 1.45	560	 0.82	 1.44	619.40	332.09	 4.50	3728.42	 1.14	2286.68
P231H7	H7	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	919CC	Mouse	Foci_processed_05-Nov-2016_73663985978_foci_analysis_05-Nov-2016	397	 1.10	 2.39	325	 0.97	 2.17	801.29	412.46	 4.50	4331.73	 1.15	3488.76
P231H8	H8	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	925CC	Mouse	Foci_processed_05-Nov-2016_73663989493_foci_analysis_05-Nov-2016	415	 1.08	 1.97	335	 1.15	 2.06	745.37	364.35	 4.86	4076.22	 1.14	4207.90
