name	Position	plate	Radiation	Radiation Type	Radiation Time	Cell Type	Antibody	Date of preparation	UserID	Race	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
P255A1	A1	P255	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	247CC	Mouse	Foci_processed_28-Nov-2016_73666203468_foci_analysis_28-Nov-2016	677	 0.84	 1.44	559	 0.71	 1.14	638.48	302.53	 5.20	1693.94	 1.21	2147.77
P255A10	A10	P255	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	934CC	Mouse	Foci_processed_28-Nov-2016_73666234588_foci_analysis_28-Nov-2016	675	 0.66	 1.55	575	 0.62	 1.59	814.32	485.68	 4.40	2455.18	 1.68	2478.36
P255A2	A2	P255	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	253CC	Mouse	Foci_processed_28-Nov-2016_73666208168_foci_analysis_28-Nov-2016	666	 0.50	 1.12	532	 0.44	 0.86	571.51	309.47	 4.80	2325.38	 1.17	1395.88
P255A3	A3	P255	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	235CC	Mouse	Foci_processed_28-Nov-2016_73666212953_foci_analysis_28-Nov-2016	666	 0.73	 1.92	559	 0.59	 1.21	680.19	359.94	 4.58	2773.33	 1.12	1710.07
P255A4	A4	P255	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	C3H f2	Mouse	Foci_processed_28-Nov-2016_73666217968_foci_analysis_28-Nov-2016	721	 0.40	 0.78	616	 0.39	 0.75	700.67	418.50	 4.97	3061.80	 1.13	1450.00
P255A5	A5	P255	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	915CC	Mouse	Foci_processed_28-Nov-2016_73666222785_foci_analysis_28-Nov-2016	733	 0.65	 2.72	639	 0.45	 0.80	558.21	305.35	 4.80	3070.97	 1.10	1439.38
P255A6	A6	P255	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	C57BL f1	Mouse	Foci_processed_28-Nov-2016_73666227014_foci_analysis_28-Nov-2016	699	 0.55	 1.58	580	 0.43	 1.03	588.26	327.38	 4.62	2727.80	 1.18	1548.52
P255A7	A7	P255	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	254CC	Mouse	Foci_processed_28-Nov-2016_73666231634_foci_analysis_28-Nov-2016	595	 0.76	 1.60	460	 0.68	 1.33	685.10	370.99	 5.22	2172.06	 1.25	1866.08
P255A8	A8	P255	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	BALBC f1	Mouse	Foci_processed_28-Nov-2016_73666235228_foci_analysis_28-Nov-2016	512	 0.55	 1.07	422	 0.51	 1.01	738.44	331.55	 3.90	2283.05	 1.47	1467.01
P255A9	A9	P255	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	921CC	Mouse	Foci_processed_28-Nov-2016_73666235691_foci_analysis_28-Nov-2016	766	 0.29	 0.74	648	 0.25	 0.59	602.88	311.41	 3.61	3014.61	 1.43	722.78
P255B1	B1	P255	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	256CC	Mouse	Foci_processed_28-Nov-2016_73666202940_foci_analysis_28-Nov-2016	601	 0.75	 2.40	514	 0.61	 1.16	628.56	346.25	 5.03	2439.78	 1.19	1815.51
P255B10	B10	P255	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	923CC	Mouse	Foci_processed_28-Nov-2016_73666236351_foci_analysis_28-Nov-2016	764	 0.51	 1.58	660	 0.50	 1.64	648.25	334.24	 3.57	2991.29	 1.45	1527.70
P255B2	B2	P255	0.18	Ar 350 MeV/n	48 hr	Fibro	53BP1	10/8/2016	257CC	Mouse	Foci_processed_28-Nov-2016_73666207564_foci_analysis_28-Nov-2016	701	 0.45	 0.86	598	 0.40	 0.80	555.49	290.22	 4.74	3294.47	 1.16	1062.50
