name	Position	plate	Radiation	Radiation Type	Radiation Time	Cell Type	Antibody	Date of preparation	UserID	Race	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
P249A1	A1	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	247CC	Mouse	Foci_processed_21-Nov-2016_73665583057_foci_analysis_21-Nov-2016	658	 0.79	 1.55	547	 0.70	 1.25	463.21	247.01	 5.21	1296.31	 1.25	1690.55
P249A10	A10	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	934CC	Mouse	Foci_processed_22-Nov-2016_73665633475_foci_analysis_22-Nov-2016	688	 0.75	 2.03	567	 0.66	 1.05	461.57	265.46	 5.22	1832.77	 1.30	1668.89
P249A2	A2	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	253CC	Mouse	Foci_processed_21-Nov-2016_73665588069_foci_analysis_21-Nov-2016	705	 0.64	 2.83	584	 0.46	 0.95	445.17	258.80	 5.11	1296.30	 1.22	1078.24
P249A3	A3	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	235CC	Mouse	Foci_processed_21-Nov-2016_73665593115_foci_analysis_21-Nov-2016	754	 0.64	 2.27	640	 0.47	 0.92	442.63	250.63	 4.83	1376.36	 1.17	1094.49
P249A4	A4	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	C3H f2	Mouse	Foci_processed_22-Nov-2016_73665600641_foci_analysis_22-Nov-2016	745	 1.06	 5.89	636	 0.72	 1.31	414.50	250.50	 5.17	1731.68	 1.16	1537.25
P249A5	A5	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	915CC	Mouse	Foci_processed_22-Nov-2016_73665605867_foci_analysis_22-Nov-2016	749	 0.68	 2.01	655	 0.55	 1.11	417.42	266.76	 5.05	1770.65	 1.16	1248.94
P249A6	A6	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	C57BL f1	Mouse	Foci_processed_22-Nov-2016_73665611865_foci_analysis_22-Nov-2016	740	 0.60	 1.63	618	 0.50	 1.19	429.27	267.93	 4.63	1638.88	 1.23	1334.33
P249A7	A7	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	254CC	Mouse	Foci_processed_22-Nov-2016_73665616566_foci_analysis_22-Nov-2016	514	 0.60	 1.28	419	 0.53	 1.18	543.73	277.56	 5.15	1406.18	 1.28	1395.36
P249A8	A8	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	BALBC f1	Mouse	Foci_processed_22-Nov-2016_73665621542_foci_analysis_22-Nov-2016	550	 0.74	 1.51	462	 0.66	 1.24	544.06	275.60	 4.60	1707.76	 1.33	1813.68
P249A9	A9	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	921CC	Mouse	Foci_processed_22-Nov-2016_73665623980_foci_analysis_22-Nov-2016	787	 0.49	 1.04	660	 0.47	 0.97	460.64	286.88	 4.18	1902.57	 1.17	1144.57
P249B1	B1	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	256CC	Mouse	Foci_processed_21-Nov-2016_73665582347_foci_analysis_21-Nov-2016	727	 0.72	 2.84	617	 0.59	 1.14	461.36	266.17	 5.16	1593.60	 1.15	1390.94
P249B10	B10	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	923CC	Mouse	Foci_processed_22-Nov-2016_73665632670_foci_analysis_22-Nov-2016	771	 0.79	 5.68	656	 0.47	 1.22	444.49	273.00	 4.18	1790.18	 1.16	1389.21
P249B2	B2	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	257CC	Mouse	Foci_processed_21-Nov-2016_73665587403_foci_analysis_21-Nov-2016	733	 0.86	 3.66	624	 0.64	 1.11	573.86	372.92	 5.05	1957.91	 1.22	1457.35
P249B3	B3	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	239CC	Mouse	Foci_processed_21-Nov-2016_73665592561_foci_analysis_21-Nov-2016	572	 0.91	 2.90	477	 0.70	 1.66	471.78	282.28	 5.70	1830.70	 1.21	1971.21
P249B4	B4	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	C3H f1	Mouse	Foci_processed_21-Nov-2016_73665599943_foci_analysis_21-Nov-2016	728	 0.97	 3.94	608	 0.74	 1.80	415.89	256.46	 5.50	1830.21	 1.19	1855.65
P249B5	B5	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	233CC	Mouse	Foci_processed_22-Nov-2016_73665605219_foci_analysis_22-Nov-2016	703	 0.56	 1.38	563	 0.51	 1.12	401.20	254.16	 4.78	1645.90	 1.30	1135.38
P249B6	B6	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	236CC	Mouse	Foci_processed_22-Nov-2016_73665611243_foci_analysis_22-Nov-2016	738	 0.44	 1.72	588	 0.35	 1.30	444.74	245.75	 4.64	1416.75	 1.21	844.24
P249B7	B7	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	251CC	Mouse	Foci_processed_22-Nov-2016_73665615912_foci_analysis_22-Nov-2016	703	 0.87	 2.39	602	 0.66	 1.10	443.09	258.68	 5.26	1745.21	 1.19	1557.38
P249B8	B8	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	907CC	Mouse	Foci_processed_22-Nov-2016_73665620906_foci_analysis_22-Nov-2016	735	 0.88	 3.48	628	 0.68	 1.65	469.49	291.66	 4.84	2018.23	 1.16	2729.02
P249B9	B9	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	922CC	Mouse	Foci_processed_22-Nov-2016_73665623353_foci_analysis_22-Nov-2016	773	 0.59	 1.64	658	 0.49	 0.93	411.57	273.38	 4.07	2022.94	 1.22	975.48
P249C1	C1	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	CBA m2	Mouse	Foci_processed_21-Nov-2016_73665581652_foci_analysis_21-Nov-2016	661	 1.07	 3.68	558	 0.75	 1.38	507.82	279.44	 6.22	1770.05	 1.21	1944.65
P249C10	C10	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	894CC	Mouse	Foci_processed_22-Nov-2016_73665625271_foci_analysis_22-Nov-2016	735	 0.88	 7.81	637	 0.56	 1.60	441.82	253.67	 5.26	1666.11	 1.18	1799.94
P249C2	C2	P249	0.3	Fe 600 MeV/n	24 hr	Fibro	53BP1	10/9/2016	220CC	Mouse	Foci_processed_21-Nov-2016_73665586810_foci_analysis_21-Nov-2016	607	 1.21	 4.71	507	 0.76	 1.26	505.17	313.23	 5.64	1911.58	 1.28	1630.66
