Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
Photon	0	0	0.1	0	0.25	1000	0	27.018	21.062	8.753	8.999	7.691	1.745	0.937275	0.0654132	5.51878e-07	6.00689e-07	
Photon	0	0	0.1	0	0.5	1000	0	54.119	42.262	17.378	17.865	15.248	3.393	0.879482	0.129497	1.02778e-06	1.18872e-06	
Photon	0	0	0.1	0	1	1000	0	108.288	84.78	34.784	35.827	30.354	7.231	0.77157	0.261872	1.82006e-06	2.40655e-06	
Photon	0	0	0.1	0	2	1000	0	216.84	169.989	69.997	71.989	60.737	14.776	0.592934	0.527449	2.8218e-06	4.8487e-06	
Photon	0	0	0.1	0	3	1000	0	325.251	255.171	104.692	107.764	90.134	23.739	0.453762	0.797827	3.2673e-06	7.34435e-06	
Photon	0	0	0.1	0	4	1000	0	433.84	340.53	139.256	143.352	119.028	32.958	0.347579	1.06834	3.3457e-06	9.84304e-06	
Photon	0	0	0.1	0	5	1000	0	542.039	425.57	174.707	179.641	148.585	41.608	0.265376	1.34035	3.20893e-06	1.23511e-05	
Photon	0	0	0.1	0	6	1000	0	650.44	510.623	209.795	215.821	177.138	52.139	0.201081	1.62126	2.94131e-06	1.49529e-05	
