Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A1	Foci_processed_14-Oct-2020	249	 0.02	 0.17	197	 0.01	 0.07	438.74	374.65	 0.60	9089.65	 1.07	24.58
A10	Foci_processed_14-Oct-2020	183	 0.38	 1.53	155	 0.23	 0.67	583.79	447.63	 0.62	8178.73	 1.07	904.70
A11	Foci_processed_14-Oct-2020	28	 0.07	 0.26	21	 0.10	 0.30	572.00	413.72	 0.60	6740.90	 1.10	291.14
A12	Foci_processed_14-Oct-2020	116	 0.25	 0.57	95	 0.27	 0.59	610.72	471.76	 0.64	7338.40	 1.10	1151.81
A2	Foci_processed_14-Oct-2020	148	 0.10	 0.34	118	 0.10	 0.36	471.32	372.65	 0.59	9059.15	 1.05	377.78
A3	Foci_processed_14-Oct-2020	73	 0.10	 0.34	58	 0.12	 0.38	396.25	317.09	 0.58	5629.86	 1.13	560.50
A4	Foci_processed_14-Oct-2020	291	 0.12	 0.49	234	 0.12	 0.50	496.47	408.74	 0.60	8142.68	 1.08	462.28
A5	Foci_processed_14-Oct-2020	801	 0.37	 0.75	644	 0.41	 0.77	545.46	429.40	 0.55	9284.54	 1.09	1831.45
A6	Foci_processed_14-Oct-2020	184	 0.34	 1.07	154	 0.27	 0.66	605.03	461.66	 0.61	7280.90	 1.09	1191.31
A7	Foci_processed_14-Oct-2020	142	 0.06	 0.26	117	 0.05	 0.26	532.92	407.26	 0.61	7814.07	 1.07	212.41
A8	Foci_processed_14-Oct-2020	228	 0.38	 0.96	188	 0.41	 1.00	646.59	475.57	 0.62	7581.93	 1.08	1731.10
A9	Foci_processed_14-Oct-2020	674	 0.36	 0.76	544	 0.36	 0.74	593.53	446.50	 0.61	8981.80	 1.08	1591.61
B1	Foci_processed_14-Oct-2020	127	 0.01	 0.09	106	 0.00	 0.00	569.20	474.26	 0.52	10176.13	 1.03	 0.00
B10	Foci_processed_14-Oct-2020	118	 0.54	 0.98	99	 0.63	 1.04	768.96	593.67	 0.57	9681.15	 1.04	2815.45
B11	Foci_processed_14-Oct-2020	48	 0.38	 0.57	42	 0.38	 0.58	743.98	585.95	 0.63	9183.41	 1.04	1469.24
B12	Foci_processed_14-Oct-2020	40	 0.33	 0.69	35	 0.34	 0.73	740.04	585.59	 0.62	8353.70	 1.09	1456.77
B2	Foci_processed_14-Oct-2020	36	 0.06	 0.33	28	 0.07	 0.38	547.02	454.91	 0.59	8642.36	 1.08	247.18
B3	Foci_processed_14-Oct-2020	69	 0.30	 0.65	57	 0.35	 0.69	621.09	471.91	 0.57	9884.64	 1.03	1423.86
B4	Foci_processed_14-Oct-2020	113	 0.18	 0.52	94	 0.20	 0.56	605.57	476.63	 0.57	9490.82	 1.05	813.15
B5	Foci_processed_14-Oct-2020	83	 0.37	 0.78	75	 0.40	 0.81	690.79	534.12	 0.58	9433.80	 1.05	1598.80
B6	Foci_processed_14-Oct-2020	127	 0.29	 0.71	103	 0.28	 0.72	687.60	537.49	 0.57	8695.36	 1.05	1189.47
B7	Foci_processed_14-Oct-2020	112	 0.17	 0.48	94	 0.15	 0.46	679.18	538.16	 0.60	8657.97	 1.06	561.02
B8	Foci_processed_14-Oct-2020	67	 0.33	 0.82	55	 0.33	 0.82	724.80	545.47	 0.60	9752.88	 1.04	1238.89
B9	Foci_processed_14-Oct-2020	222	 0.59	 0.97	189	 0.60	 0.90	810.74	642.36	 0.63	9190.47	 1.06	2687.66
C1	Foci_processed_14-Oct-2020	218	 0.04	 0.19	185	 0.04	 0.19	679.33	566.89	 0.54	10446.39	 1.06	145.03
C10	Foci_processed_14-Oct-2020	682	 0.51	 0.91	572	 0.58	 0.94	826.20	676.03	 0.56	9928.46	 1.06	2465.10
C11	Foci_processed_14-Oct-2020	63	 0.35	 0.83	52	 0.37	 0.86	749.91	608.31	 0.58	8818.97	 1.05	1380.44
