Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
E7	Foci_processed_06-Dec-2020	775	 1.18	 1.70	667	 1.12	 1.45	1245.24	901.15	 0.51	9790.64	 1.04	5040.71
E8	Foci_processed_06-Dec-2020	760	 1.59	 1.85	638	 1.55	 1.65	1444.60	1077.06	 0.56	8573.54	 1.06	7561.27
E9	Foci_processed_06-Dec-2020	801	 1.44	 1.62	676	 1.44	 1.62	1506.12	1138.88	 0.57	7532.09	 1.09	7001.00
F1	Foci_processed_06-Dec-2020	183	 1.53	 1.96	161	 1.54	 1.87	1192.89	889.06	 0.52	8243.79	 1.05	6654.18
F10	Foci_processed_06-Dec-2020	284	 1.04	 1.56	264	 1.07	 1.59	1094.81	775.25	 0.52	9557.45	 1.04	4500.17
F11	Foci_processed_06-Dec-2020	92	 1.25	 1.89	78	 1.21	 1.83	1069.51	771.11	 0.51	9490.20	 1.04	4929.97
F12	Foci_processed_06-Dec-2020	801	 0.70	 1.53	658	 0.69	 1.57	969.35	773.22	 0.53	8041.23	 1.07	2782.30
F2	Foci_processed_06-Dec-2020	307	 1.12	 1.55	271	 1.11	 1.53	1041.79	697.92	 0.49	9963.96	 1.04	5140.94
F3	Foci_processed_06-Dec-2020	513	 0.73	 1.22	442	 0.73	 1.22	1053.84	770.27	 0.47	10221.78	 1.04	3260.78
F4	Foci_processed_06-Dec-2020	147	 1.35	 1.96	125	 1.42	 2.05	1094.03	768.54	 0.51	8946.03	 1.04	6264.88
F5	Foci_processed_06-Dec-2020	167	 1.27	 1.64	151	 1.32	 1.65	1175.78	776.35	 0.49	10169.15	 1.04	6184.99
F6	Foci_processed_06-Dec-2020	293	 1.17	 1.50	244	 1.09	 1.41	1119.29	810.70	 0.52	8743.94	 1.06	5444.55
F7	Foci_processed_06-Dec-2020	133	 1.07	 1.68	118	 1.03	 1.46	1051.13	746.75	 0.50	9707.76	 1.04	4683.98
F8	Foci_processed_06-Dec-2020	530	 0.92	 1.35	453	 0.87	 1.30	1077.67	767.01	 0.49	8945.90	 1.06	4330.34
F9	Foci_processed_06-Dec-2020	81	 1.32	 2.02	69	 1.26	 1.97	1195.90	803.06	 0.51	9252.41	 1.04	5871.84
