Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
B	0	4202480	4.83	3.41668e+07	0.5	1000	0	4.518	3.56	14.851	18.084	2.741	124.233	0.66166	0.747156	1.63563e-06	7.6217e-06	
B	0	4202480	4.83	3.41668e+07	1	1000	0	8.935	6.998	28.804	34.887	5.249	243.484	0.434803	1.46086	2.21731e-06	1.49064e-05	
B	0	4202480	4.83	3.41668e+07	2	1000	0	17.974	14.078	57.604	69.713	10.226	497.768	0.191764	2.97641	1.92193e-06	3.03831e-05	
B	0	4202480	4.83	3.41668e+07	4	1000	0	35.929	28.005	115.807	140.056	18.773	1119.47	0.031815	6.58887	6.71929e-07	6.73871e-05	
B	0	4202480	6.5	3.61989e+07	0.5	1000	0	5.627	4.414	14.809	17.207	3.331	91.532	0.694483	0.574873	1.7215e-06	5.83468e-06	
B	0	4202480	6.5	3.61989e+07	1	1000	0	11.198	8.766	29.994	34.855	6.551	187.001	0.465388	1.17259	2.44972e-06	1.19034e-05	
B	0	4202480	6.5	3.61989e+07	2	1000	0	22.493	17.541	59.018	68.509	12.367	383.464	0.212182	2.3859	2.28048e-06	2.42418e-05	
B	0	4202480	6.5	3.61989e+07	4	1000	0	45.1	35.235	120.398	139.829	22.683	890.335	0.0347119	5.41883	8.03056e-07	5.51994e-05	
B	0	4202480	10.48	3.94528e+07	0.5	1000	0	8.118	6.354	15.581	17.312	4.626	60.089	0.723844	0.415173	1.87657e-06	4.16994e-06	
B	0	4202480	10.48	3.94528e+07	1	1000	0	16.312	12.788	31.21	34.559	9.031	119.448	0.52066	0.826215	2.71753e-06	8.29743e-06	
B	0	4202480	10.48	3.94528e+07	2	1000	0	32.724	25.476	62.353	69.178	16.736	267.144	0.252385	1.79687	2.73616e-06	1.80991e-05	
B	0	4202480	10.48	3.94528e+07	4	1000	0	65.538	51.347	125.489	138.969	29.274	626.147	0.0505304	4.06608	1.16374e-06	4.11137e-05	
