Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
He	4	2	1.23	90.0349	0.5	1000	0	9.977	7.805	15.698	17.935	3.691	69.641	0.691026	0.467801	2.05457e-06	4.71264e-06	
He	4	2	1.23	90.0349	1	1000	0	19.927	15.585	30.778	35	7.119	140.254	0.480792	0.935095	2.83529e-06	9.42781e-06	
He	4	2	1.23	90.0349	2	1000	0	39.986	31.17	61.793	70.194	13.211	313.393	0.211392	2.03912	2.58751e-06	2.06139e-05	
He	4	2	1.23	90.0349	4	1000	0	80.005	62.755	125.317	142.486	23.218	762.135	0.0342042	4.7817	8.70662e-07	4.85377e-05	
He	4	2	1.78	69.9099	0.5	1000	0	12.832	10.041	15.748	17.444	4.526	51.119	0.72968	0.370255	1.96278e-06	3.70079e-06	
He	4	2	1.78	69.9099	1	1000	0	25.705	20.027	31.469	34.557	8.527	108.638	0.523799	0.771072	2.86852e-06	7.72295e-06	
He	4	2	1.78	69.9099	2	1000	0	51.492	40.224	64.368	70.937	15.803	258.109	0.23958	1.76184	2.84285e-06	1.77184e-05	
He	4	2	1.78	69.9099	4	1000	0	103.136	80.935	129.227	142.449	26.791	652.488	0.0408865	4.22227	1.04302e-06	4.27097e-05	
He	4	2	2.81	49.9883	0.5	1000	0	18.015	14.108	15.897	17.056	5.763	35.319	0.771596	0.287239	1.78685e-06	2.83938e-06	
He	4	2	2.81	49.9883	1	1000	0	35.98	28.052	32.101	34.403	10.703	79.563	0.57373	0.621822	2.83434e-06	6.1694e-06	
He	4	2	2.81	49.9883	2	1000	0	72.091	56.539	65.291	69.979	19.317	193.048	0.290269	1.42401	3.13421e-06	1.42074e-05	
He	4	2	2.81	49.9883	4	1000	0	144.351	113.307	131.387	140.799	31.522	513.717	0.0543625	3.50417	1.34553e-06	3.52432e-05	
He	4	2	5.91	28.0076	0.5	1000	0	32.185	25.055	16.293	16.974	7.94	20.358	0.817984	0.210423	1.5198e-06	2.03983e-06	
He	4	2	5.91	28.0076	1	1000	0	64.306	50.376	33.478	34.891	14.806	49.689	0.639722	0.472529	2.63215e-06	4.60965e-06	
He	4	2	5.91	28.0076	2	1000	0	128.776	101.144	66.724	69.668	24.922	132.533	0.357512	1.11343	3.35129e-06	1.09745e-05	
He	4	2	5.91	28.0076	4	1000	0	257.81	202.354	135.69	141.687	38.478	395.444	0.0733416	2.90656	1.72375e-06	2.90091e-05	
He	4	2	8.99	19.9996	0.5	1000	0	45.142	35.258	16.897	17.519	9.264	16.27	0.829258	0.192996	1.44456e-06	1.85338e-06	
He	4	2	8.99	19.9996	1	1000	0	90.124	70.722	33.717	34.897	16.53	40.865	0.663512	0.427565	2.52664e-06	4.14114e-06	
He	4	2	8.99	19.9996	2	1000	0	180.504	141.75	68.289	70.699	27.821	114.019	0.380372	1.02549	3.3955e-06	1.0049e-05	
He	4	2	8.99	19.9996	4	1000	0	360.829	283.434	135.728	140.334	41.069	346.947	0.0871726	2.65073	1.94562e-06	2.63559e-05	
