Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
He	4	2	1.23	90.0349	0.5	1000	0	9.977	7.805	15.698	17.935	5.375	43.555	0.750539	0.334762	1.83846e-06	3.3266e-06	
He	4	2	1.23	90.0349	1	1000	0	19.927	15.585	30.778	35	10.622	84.719	0.5703	0.651867	2.75124e-06	6.47706e-06	
He	4	2	1.23	90.0349	2	1000	0	39.986	31.17	61.793	70.194	21.287	169.625	0.32341	1.30591	3.13671e-06	1.2975e-05	
He	4	2	1.23	90.0349	4	1000	0	80.005	62.755	125.317	142.486	42.708	354.865	0.102186	2.70462	1.96929e-06	2.68981e-05	
He	4	2	1.78	69.9099	0.5	1000	0	12.832	10.041	15.748	17.444	6.465	31.36	0.78397	0.269484	1.69268e-06	2.65093e-06	
He	4	2	1.78	69.9099	1	1000	0	25.705	20.027	31.469	34.557	12.78	61.863	0.618023	0.532519	2.64482e-06	5.23764e-06	
He	4	2	1.78	69.9099	2	1000	0	51.492	40.224	64.368	70.937	26	129.318	0.368992	1.10501	3.26855e-06	1.08753e-05	
He	4	2	1.78	69.9099	4	1000	0	103.136	80.935	129.227	142.449	51.592	268.358	0.132479	2.26321	2.36295e-06	2.22996e-05	
He	4	2	2.81	49.9883	0.5	1000	0	18.015	14.108	15.897	17.056	8.046	20.429	0.819738	0.2113	1.4839e-06	2.04823e-06	
He	4	2	2.81	49.9883	1	1000	0	35.98	28.052	32.101	34.403	15.938	42.344	0.665748	0.432005	2.47173e-06	4.19184e-06	
He	4	2	2.81	49.9883	2	1000	0	72.091	56.539	65.291	69.979	32.237	86.962	0.436921	0.882974	3.29118e-06	8.57072e-06	
He	4	2	2.81	49.9883	4	1000	0	144.351	113.307	131.387	140.799	63.993	179.863	0.184342	1.80152	2.84164e-06	1.75045e-05	
He	4	2	5.91	28.0076	0.5	1000	0	32.185	25.055	16.293	16.974	10.524	11.04	0.853556	0.162901	1.24471e-06	1.54473e-06	
He	4	2	5.91	28.0076	1	1000	0	64.306	50.376	33.478	34.891	21.549	22.826	0.721715	0.335528	2.16764e-06	3.18233e-06	
He	4	2	5.91	28.0076	2	1000	0	128.776	101.144	66.724	69.668	42.574	46.676	0.519079	0.675563	3.13198e-06	6.41264e-06	
He	4	2	5.91	28.0076	4	1000	0	257.81	202.354	135.69	141.687	84.552	102.063	0.254644	1.41032	3.21114e-06	1.34208e-05	
He	4	2	8.99	19.9996	0.5	1000	0	45.142	35.258	16.897	17.519	12.03	8.348	0.860829	0.152594	1.18836e-06	1.43246e-06	
He	4	2	8.99	19.9996	1	1000	0	90.124	70.722	33.717	34.897	23.902	16.984	0.74095	0.305772	2.04445e-06	2.87227e-06	
He	4	2	8.99	19.9996	2	1000	0	180.504	141.75	68.289	70.699	48.134	34.728	0.54425	0.621103	3.04455e-06	5.836e-06	
He	4	2	8.99	19.9996	4	1000	0	360.829	283.434	135.728	140.334	93.408	74.67	0.29077	1.26211	3.30756e-06	1.1889e-05	
