Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A1	Foci_processed_13-Dec-2019	676	 2.39	 2.36	588	 2.55	 2.41	2978.67	1972.61	 0.54	27248.89	 1.04	36784.49
A10	Foci_processed_13-Dec-2019	458	 2.56	 2.31	391	 2.55	 2.22	3410.72	2284.40	 0.53	29137.65	 1.05	38101.86
A11	Foci_processed_13-Dec-2019	406	 2.33	 2.49	334	 2.35	 2.45	2937.74	1975.14	 0.56	26127.00	 1.05	30154.51
A12	Foci_processed_13-Dec-2019	562	 2.66	 2.27	464	 2.68	 2.14	3916.53	2522.98	 0.63	24167.72	 1.07	45537.33
A2	Foci_processed_13-Dec-2019	801	 2.63	 2.91	734	 2.73	 2.96	2674.19	2197.99	 0.47	31704.10	 1.04	35285.34
A3	Foci_processed_13-Dec-2019	801	 3.02	 2.85	716	 3.15	 2.90	2631.59	2002.48	 0.48	30827.69	 1.04	39043.46
A4	Foci_processed_13-Dec-2019	801	 2.58	 2.54	726	 2.62	 2.52	2972.25	2350.29	 0.43	27872.48	 1.04	36039.97
A5	Foci_processed_13-Dec-2019	801	 2.62	 2.57	699	 2.73	 2.60	3427.42	2335.59	 0.55	26732.84	 1.06	39041.73
A6	Foci_processed_13-Dec-2019	617	 2.48	 2.51	549	 2.56	 2.56	3327.73	2279.87	 0.52	28667.73	 1.05	37028.23
A7	Foci_processed_13-Dec-2019	432	 2.14	 2.37	382	 2.18	 2.43	2626.36	1808.93	 0.55	27827.11	 1.05	24643.62
A8	Foci_processed_13-Dec-2019	801	 1.69	 2.03	644	 1.88	 2.10	3063.05	2155.76	 0.67	23472.13	 1.08	24156.65
A9	Foci_processed_13-Dec-2019	395	 2.15	 2.30	331	 2.36	 2.33	3548.56	2280.65	 0.64	24571.06	 1.08	32566.65
B10	Foci_processed_13-Dec-2019	196	 1.67	 1.92	168	 1.80	 1.98	3366.31	2366.32	 0.53	28202.49	 1.06	25790.36
B11	Foci_processed_13-Dec-2019	458	 2.10	 2.09	388	 2.36	 2.11	3754.24	2645.65	 0.57	27514.33	 1.05	36251.24
B12	Foci_processed_13-Dec-2019	801	 1.82	 2.08	697	 1.91	 2.09	3760.56	2767.87	 0.55	27096.89	 1.05	28582.31
B2	Foci_processed_13-Dec-2019	801	 2.19	 1.92	706	 2.25	 1.91	3274.27	2215.88	 0.50	28575.65	 1.05	34552.26
B3	Foci_processed_13-Dec-2019	801	 2.08	 2.15	704	 2.12	 2.17	3353.30	2373.62	 0.52	27044.47	 1.06	30901.35
B4	Foci_processed_14-Dec-2019	801	 2.28	 2.15	711	 2.37	 2.17	3134.69	2148.31	 0.48	32767.33	 1.03	33172.54
B5	Foci_processed_14-Dec-2019	801	 2.64	 1.90	707	 2.77	 1.86	3159.56	2208.45	 0.50	32540.21	 1.04	37721.56
B6	Foci_processed_14-Dec-2019	801	 2.08	 2.08	720	 2.16	 2.10	3131.29	2166.47	 0.51	29502.69	 1.05	28673.77
B7	Foci_processed_14-Dec-2019	801	 2.51	 2.23	691	 2.63	 2.26	3358.66	2391.91	 0.47	32669.10	 1.03	38844.51
B8	Foci_processed_14-Dec-2019	801	 1.86	 2.01	689	 1.99	 2.05	3169.71	2191.51	 0.51	28465.43	 1.05	31431.40
