Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
A1	Foci_processed_13-Mar-2020	128	 1.61	 3.27	102	 1.65	 3.27	678.72	567.98	 0.79	5430.18	 1.15	7654.69
A10	Foci_processed_13-Mar-2020	215	 0.79	 1.35	174	 0.81	 1.37	673.75	516.43	 0.70	6048.91	 1.08	3697.59
A11	Foci_processed_13-Mar-2020	506	 0.41	 1.05	413	 0.38	 1.03	542.43	432.05	 0.68	5750.79	 1.10	1721.47
A12	Foci_processed_13-Mar-2020	89	 0.30	 0.77	66	 0.23	 0.58	519.75	445.55	 0.87	5022.67	 1.16	993.02
A2	Foci_processed_13-Mar-2020	446	 0.59	 1.40	372	 0.59	 1.34	540.99	445.63	 0.69	6759.78	 1.10	2581.53
A3	Foci_processed_13-Mar-2020	172	 1.05	 1.72	142	 1.01	 1.68	631.98	464.64	 0.63	5505.40	 1.09	4884.44
A4	Foci_processed_13-Mar-2020	470	 0.18	 0.70	389	 0.14	 0.53	525.93	456.87	 0.61	5342.87	 1.12	631.10
A5	Foci_processed_13-Mar-2020	174	 1.10	 1.45	152	 1.16	 1.47	690.54	491.02	 0.61	5968.46	 1.07	5487.47
A6	Foci_processed_13-Mar-2020	216	 0.86	 1.74	168	 0.83	 1.47	631.09	475.79	 0.67	5398.21	 1.08	3673.14
A7	Foci_processed_13-Mar-2020	116	 0.72	 1.77	97	 0.67	 1.12	715.87	536.66	 0.72	3962.89	 1.13	3300.71
A8	Foci_processed_13-Mar-2020	195	 0.33	 0.85	166	 0.30	 0.68	510.61	415.69	 0.69	3653.80	 1.21	1439.86
A9	Foci_processed_13-Mar-2020	266	 0.33	 0.98	213	 0.23	 0.67	543.58	453.90	 0.71	5204.54	 1.14	1077.47
