Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut	SiDom
He	4	2	10	18.3487	4	1000	0	138.648	135.589	135.324	139.763	89.776	81.355	0.283341	1.29262	3.29033e-06	1.22119e-05	0.8
He	4	2	50	4.97376	0.5	1000	0	63.75	62.399	18.124	18.511	15.611	3.683	0.874767	0.135032	1.06506e-06	1.24059e-06	0.8
He	4	2	50	4.97376	1	1000	0	128.052	125.239	36.264	37.034	30.841	7.834	0.763309	0.272527	1.87864e-06	2.50673e-06	0.8
He	4	2	50	4.97376	2	1000	0	256.013	250.432	72.485	73.944	59.806	18.445	0.575322	0.558438	2.90471e-06	5.154e-06	0.8
He	4	2	50	4.97376	4	1000	0	512.168	501.173	144.924	147.912	113.492	47.133	0.314715	1.16927	3.33724e-06	1.08536e-05	0.8
He	4	2	100	2.9106	0.5	1000	0	109.311	106.933	17.853	18.176	15.818	2.9	0.879828	0.128935	1.02341e-06	1.18008e-06	0.8
He	4	2	100	2.9106	1	1000	0	218.706	213.928	36.537	37.246	31.944	6.702	0.766448	0.268085	1.85433e-06	2.45855e-06	0.8
He	4	2	100	2.9106	2	1000	0	437.603	428.201	73.051	74.43	62.108	15.651	0.581246	0.547241	2.87474e-06	5.03298e-06	0.8
He	4	2	100	2.9106	4	1000	0	875.31	856.436	145.795	148.558	117.219	41.469	0.32192	1.14444	3.34214e-06	1.05891e-05	0.8
He	4	2	200	1.79331	0.5	1000	0	177.515	173.64	18.021	18.373	16.246	2.616	0.880057	0.128724	1.01939e-06	1.17611e-06	0.8
He	4	2	200	1.79331	1	1000	0	355.281	347.589	36.23	36.848	32.259	5.55	0.772599	0.25971	1.81014e-06	2.37487e-06	0.8
He	4	2	200	1.79331	2	1000	0	710.323	695.023	72.411	73.659	62.402	14.078	0.588446	0.534376	2.84161e-06	4.90588e-06	0.8
He	4	2	200	1.79331	4	1000	0	1420.52	1390.01	145.051	147.664	118.551	37.953	0.328929	1.12089	3.34927e-06	1.03518e-05	0.8
He	4	2	400	1.21042	0.5	1000	0	263.051	257.345	18.185	18.536	16.525	2.432	0.879819	0.128809	1.02165e-06	1.17553e-06	0.8
He	4	2	400	1.21042	1	1000	0	526.133	514.84	35.93	36.594	32.216	5.318	0.774717	0.256932	1.79508e-06	2.34821e-06	0.8
He	4	2	400	1.21042	2	1000	0	1052.18	1029.52	71.847	73.074	62.6	13.09	0.593385	0.525664	2.81865e-06	4.82037e-06	0.8
He	4	2	400	1.21042	4	1000	0	2104.55	2059.4	144.476	147.078	118.975	36.513	0.33258	1.10987	3.34998e-06	1.02423e-05	0.8
He	4	2	800	0.931308	0.5	1000	0	341.81	334.395	17.523	17.818	16.026	2.155	0.885041	0.122888	9.78922e-07	1.12029e-06	0.8
He	4	2	800	0.931308	1	1000	0	683.857	669.116	35.066	35.661	31.565	5.073	0.78024	0.249823	1.75663e-06	2.28252e-06	0.8
He	4	2	800	0.931308	2	1000	0	1367.35	1338.05	70.003	71.108	61.242	12.258	0.603253	0.509074	2.7731e-06	4.66518e-06	0.8
He	4	2	800	0.931308	4	1000	0	2734.97	2676.13	140.297	142.687	116.448	33.535	0.346947	1.0671	3.3568e-06	9.83616e-06	0.8
He	4	2	1000	0.883102	0.5	1000	0	360.494	352.695	17.18	17.496	15.716	2.219	0.886543	0.121192	9.67445e-07	1.10551e-06	0.8
He	4	2	1000	0.883102	1	1000	0	721.203	705.673	34.227	34.795	30.943	4.718	0.785757	0.242574	1.71881e-06	2.21478e-06	0.8
He	4	2	1000	0.883102	2	1000	0	1442.46	1411.45	68.68	69.896	60.432	11.674	0.609469	0.498484	2.74485e-06	4.56574e-06	0.8
He	4	2	1000	0.883102	4	1000	0	2884.17	2822.06	138.25	140.548	114.98	32.583	0.353131	1.04881	3.3604e-06	9.66484e-06	0.8
He	4	2	1600	0.827428	0.5	1000	0	384.773	376.457	16.259	16.558	14.975	1.878	0.893238	0.113562	9.13103e-07	1.03444e-06	0.8
He	4	2	1600	0.827428	1	1000	0	769.619	753.049	32.976	33.525	29.767	4.604	0.792558	0.234017	1.67119e-06	2.13703e-06	0.8
He	4	2	1600	0.827428	2	1000	0	1539.35	1506.22	65.524	66.615	57.842	10.849	0.624723	0.473672	2.6716e-06	4.3367e-06	0.8
He	4	2	1600	0.827428	4	1000	0	3078.12	3011.85	130.74	132.894	109.673	29.53	0.37609	0.985177	3.35998e-06	9.07057e-06	0.8
C	12	6	10	163.773	0.5	1000	0	1.914	1.846	12.383	14.266	4.246	48.899	0.792371	0.338975	1.28456e-06	3.40344e-06	0.8
C	12	6	10	163.773	1	1000	0	3.877	3.742	26.482	30.526	9.188	103.208	0.613862	0.718064	2.0535e-06	7.20689e-06	0.8
C	12	6	10	163.773	2	1000	0	7.56	7.367	57.804	66.649	19.54	233.626	0.333548	1.61005	2.54061e-06	1.61755e-05	0.8
C	12	6	10	163.773	4	1000	0	15.492	15.126	119.246	137.68	39.993	483.969	0.105801	3.33287	1.63977e-06	3.34865e-05	0.8
C	12	6	50	44.7632	0.5	1000	0	6.949	6.766	16.44	17.206	10.046	14.183	0.842697	0.180387	1.30637e-06	1.72483e-06	0.8
C	12	6	50	44.7632	1	1000	0	14.197	13.841	34.58	36.212	20.636	32.078	0.690891	0.391009	2.31208e-06	3.74849e-06	0.8
C	12	6	50	44.7632	2	1000	0	28.251	27.622	69.727	72.953	40.973	66.292	0.471327	0.796234	3.20769e-06	7.64033e-06	0.8
C	12	6	50	44.7632	4	1000	0	56.831	55.6	139.678	146.306	79.354	143.108	0.214192	1.64865	2.96544e-06	1.58624e-05	0.8
C	12	6	100	26.1954	0.5	1000	0	12.105	11.806	17.466	18.059	12.236	9.392	0.854686	0.16131	1.22831e-06	1.51841e-06	0.8
C	12	6	100	26.1954	1	1000	0	24.182	23.641	35.453	36.664	24.639	19.713	0.725384	0.330786	2.12747e-06	3.11701e-06	0.8
C	12	6	100	26.1954	2	1000	0	48.45	47.411	71.222	73.529	48.308	42.453	0.517883	0.678272	3.1191e-06	6.4062e-06	0.8
C	12	6	100	26.1954	4	1000	0	97.126	95.013	142.089	146.813	92.877	93.113	0.259458	1.39686	3.20044e-06	1.32346e-05	0.8
C	12	6	200	16.1398	0.5	1000	0	19.578	19.141	17.62	18.068	13.56	6.473	0.866099	0.146479	1.13688e-06	1.36383e-06	0.8
C	12	6	200	16.1398	1	1000	0	39.343	38.478	35.409	36.311	26.988	13.41	0.747329	0.296424	1.99116e-06	2.76218e-06	0.8
C	12	6	200	16.1398	2	1000	0	78.887	77.182	71.425	73.232	53.422	29.312	0.550213	0.609388	3.00718e-06	5.69121e-06	0.8
C	12	6	200	16.1398	4	1000	0	157.79	154.348	143.792	147.509	102.338	69.937	0.284713	1.28304	3.28396e-06	1.20425e-05	0.8
C	12	6	400	10.8938	0.5	1000	0	29.107	28.457	17.605	17.981	14.453	4.707	0.873513	0.136926	1.07732e-06	1.26508e-06	0.8
C	12	6	400	10.8938	1	1000	0	58.246	57.008	35.347	36.147	28.632	10.138	0.759819	0.278707	1.90223e-06	2.57908e-06	0.8
C	12	6	400	10.8938	2	1000	0	116.973	114.412	71.105	72.692	56.165	22.598	0.568921	0.571756	2.93461e-06	5.30399e-06	0.8
C	12	6	400	10.8938	4	1000	0	233.864	228.757	142.466	145.688	107.034	55.557	0.307184	1.19826	3.32856e-06	1.11757e-05	0.8
C	12	6	800	8.38177	0.5	1000	0	37.915	37.075	17.159	17.528	14.474	4.001	0.878885	0.130481	1.03374e-06	1.202e-06	0.8
C	12	6	800	8.38177	1	1000	0	75.898	74.272	34.655	35.382	28.912	8.388	0.769405	0.264978	1.83869e-06	2.44291e-06	0.8
C	12	6	800	8.38177	2	1000	0	151.91	148.601	69.418	70.871	56.394	19.3	0.584318	0.5435	2.86859e-06	5.02597e-06	0.8
