Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
He	4	2	1.23	90.0349	0.5	1000	0	9.977	7.805	15.698	17.935	4.441	56.234	0.71949	0.399425	1.96501e-06	4.00028e-06	
He	4	2	1.23	90.0349	1	1000	0	19.927	15.585	30.778	35	8.701	110.063	0.525621	0.781121	2.82335e-06	7.82366e-06	
He	4	2	1.23	90.0349	2	1000	0	39.986	31.17	61.793	70.194	17.184	225.285	0.269936	1.58977	2.94451e-06	1.59324e-05	
He	4	2	1.23	90.0349	4	1000	0	80.005	62.755	125.317	142.486	33.518	487.003	0.0686559	3.37853	1.49446e-06	3.3919e-05	
He	4	2	1.78	69.9099	0.5	1000	0	12.832	10.041	15.748	17.444	5.358	41.193	0.755975	0.319633	1.84186e-06	3.17339e-06	
He	4	2	1.78	69.9099	1	1000	0	25.705	20.027	31.469	34.557	10.501	82.751	0.572391	0.639048	2.78128e-06	6.34749e-06	
He	4	2	1.78	69.9099	2	1000	0	51.492	40.224	64.368	70.937	20.994	175.696	0.311499	1.34153	3.16077e-06	1.33395e-05	
He	4	2	1.78	69.9099	4	1000	0	103.136	80.935	129.227	142.449	40.358	387.463	0.0881651	2.87064	1.82864e-06	2.86281e-05	
He	4	2	2.81	49.9883	0.5	1000	0	18.015	14.108	15.897	17.056	6.854	27.339	0.79691	0.246541	1.63294e-06	2.41538e-06	
He	4	2	2.81	49.9883	1	1000	0	35.98	28.052	32.101	34.403	13.374	57.187	0.626207	0.507705	2.65005e-06	4.9805e-06	
He	4	2	2.81	49.9883	2	1000	0	72.091	56.539	65.291	69.979	26.319	122.943	0.377382	1.06648	3.31065e-06	1.04825e-05	
He	4	2	2.81	49.9883	4	1000	0	144.351	113.307	131.387	140.799	50.074	272.952	0.127085	2.27627	2.34866e-06	2.24506e-05	
He	4	2	5.91	28.0076	0.5	1000	0	32.185	25.055	16.293	16.974	9.375	14.435	0.840184	0.180215	1.35222e-06	1.72512e-06	
He	4	2	5.91	28.0076	1	1000	0	64.306	50.376	33.478	34.891	18.738	31.527	0.693181	0.379903	2.34752e-06	3.64464e-06	
He	4	2	5.91	28.0076	2	1000	0	128.776	101.144	66.724	69.668	35.6	70.869	0.465652	0.798947	3.27674e-06	7.69809e-06	
He	4	2	5.91	28.0076	4	1000	0	257.81	202.354	135.69	141.687	66.472	171.552	0.186385	1.76471	2.88783e-06	1.7113e-05	
He	4	2	8.99	19.9996	0.5	1000	0	45.142	35.258	16.897	17.519	10.893	11.215	0.849177	0.167216	1.2851e-06	1.58479e-06	
He	4	2	8.99	19.9996	1	1000	0	90.124	70.722	33.717	34.897	21.018	24.542	0.715061	0.344317	2.21876e-06	3.27385e-06	
He	4	2	8.99	19.9996	2	1000	0	180.504	141.75	68.289	70.699	40.729	54.513	0.495968	0.722006	3.21863e-06	6.88724e-06	
He	4	2	8.99	19.9996	4	1000	0	360.829	283.434	135.728	140.334	73.625	134.037	0.220298	1.56489	3.0922e-06	1.50433e-05	
