Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
B	0	4202480	4.83	3.41668e+07	0.5	1000	0	4.518	3.56	14.851	18.084	3.913	88.469	0.701399	0.564759	1.64382e-06	5.72144e-06	
B	0	4202480	4.83	3.41668e+07	1	1000	0	8.935	6.998	28.804	34.887	7.582	170.299	0.490782	1.08762	2.36428e-06	1.10178e-05	
B	0	4202480	4.83	3.41668e+07	2	1000	0	17.974	14.078	57.604	69.713	15.157	334.904	0.249979	2.14581	2.33623e-06	2.17297e-05	
B	0	4202480	4.83	3.41668e+07	4	1000	0	35.929	28.005	115.807	140.056	29.987	688.694	0.0595591	4.39189	1.15658e-06	4.44983e-05	
B	0	4202480	6.5	3.61989e+07	0.5	1000	0	5.627	4.414	14.809	17.207	4.647	62.743	0.73703	0.428049	1.67019e-06	4.30503e-06	
B	0	4202480	6.5	3.61989e+07	1	1000	0	11.198	8.766	29.994	34.855	9.286	125.9	0.530311	0.860979	2.5189e-06	8.65695e-06	
B	0	4202480	6.5	3.61989e+07	2	1000	0	22.493	17.541	59.018	68.509	18.331	251.559	0.282637	1.71319	2.68711e-06	1.72333e-05	
B	0	4202480	6.5	3.61989e+07	4	1000	0	45.1	35.235	120.398	139.829	36.712	520.868	0.0724757	3.53455	1.45963e-06	3.55684e-05	
B	0	4202480	10.48	3.94528e+07	0.5	1000	0	8.118	6.354	15.581	17.312	6.117	41.764	0.764516	0.321716	1.72345e-06	3.19628e-06	
B	0	4202480	10.48	3.94528e+07	1	1000	0	16.312	12.788	31.21	34.559	12.394	80.726	0.589375	0.628733	2.61149e-06	6.24e-06	
B	0	4202480	10.48	3.94528e+07	2	1000	0	32.724	25.476	62.353	69.178	24.399	161.989	0.342538	1.26058	3.09648e-06	1.25119e-05	
B	0	4202480	10.48	3.94528e+07	4	1000	0	65.538	51.347	125.489	138.969	47.986	337.699	0.112513	2.59499	2.06633e-06	2.57875e-05	
